ID;Leeftijd;Perioden;TotaalLevendgeborenen_1;k_1eKind_2;k_2eKind_3;k_3eKind_4;k_4eOfVolgendeKinderen_5;TotaalOverledenen_6;OverledenMannen_7;OverledenVrouwen_8;TotaalImmigratie_9;ImmigratieMannen_10;ImmigratieVrouwen_11;TotaalEmigratie_12;EmigratieMannen_13;EmigratieVrouwen_14;TotaalMigratieSaldo_15;MigratieSaldoMannen_16;MigratieSaldoVrouwen_17
0;Totaal over alle leeftijden;2006;184394.0;82604.0;68894.0;23597.0;9299.0;135848;65228;70621;100358;50416;49942;131656;74017;57639;-31298;-23601;-7697
1;Totaal over alle leeftijden;2007;181626.0;81545.0;67784.0;22889.0;9408.0;137445;65929;71516;105610;53204;52406;129901;72610;57291;-24291;-19406;-4885
2;Totaal over alle leeftijden;2008;179636.0;80835.0;66790.0;22381.0;9631.0;139288;66851;72437;111055;56288;54767;128302;71375;56928;-17247;-15087;-2161
3;Totaal over alle leeftijden;2009;178209.0;80353.0;66067.0;21857.0;9933.0;141129;67788;73341;116160;59306;56854;126773;70259;56514;-10613;-10953;340
4;Totaal over alle leeftijden;2010;176985.0;79938.0;65497.0;21445.0;10105.0;143032;68757;74275;120113;61717;58396;125297;69244;56053;-5184;-7527;2343
5;Totaal over alle leeftijden;2011;175979.0;79774.0;65036.0;21081.0;10089.0;144920;69728;75192;122744;63377;59367;123825;68288;55536;-1081;-4911;3831
6;Totaal over alle leeftijden;2012;175316.0;79776.0;64794.0;20792.0;9954.0;146752;70740;76012;123970;64126;59844;122345;67375;54970;1625;-3249;4874
7;Totaal over alle leeftijden;2013;175090.0;79877.0;64728.0;20632.0;9853.0;148615;71795;76820;124214;64232;59982;120908;66501;54408;3306;-2269;5574
8;Totaal over alle leeftijden;2014;175295.0;80196.0;64799.0;20506.0;9793.0;150521;72906;77615;123905;64056;59849;119547;65677;53870;4358;-1621;5979
9;Totaal over alle leeftijden;2015;175795.0;80570.0;64990.0;20475.0;9759.0;152486;74082;78404;123583;63872;59711;118330;64941;53389;5253;-1069;6322
10;Totaal over alle leeftijden;2016;176542.0;81015.0;65284.0;20486.0;9757.0;154536;75343;79193;123267;63716;59551;117364;64344;53021;5903;-628;6530
11;Totaal over alle leeftijden;2017;177417.0;81414.0;65685.0;20545.0;9773.0;156437;76454;79983;122942;63546;59396;116533;63820;52713;6409;-274;6683
12;Totaal over alle leeftijden;2018;178513.0;81923.0;66153.0;20630.0;9807.0;158450;77670;80780;122629;63389;59240;115707;63308;52399;6922;81;6841
13;Totaal over alle leeftijden;2019;179657.0;82418.0;66653.0;20726.0;9860.0;160571;78981;81590;122323;63236;59087;114875;62805;52071;7448;431;7016
14;Totaal over alle leeftijden;2020;180710.0;82813.0;67145.0;20820.0;9932.0;162771;80363;82409;122026;63086;58940;114045;62319;51726;7981;767;7214
15;Totaal over alle leeftijden;2021;181688.0;83166.0;67598.0;20919.0;10005.0;165071;81816;83255;121725;62932;58793;113215;61839;51376;8510;1093;7417
16;Totaal over alle leeftijden;2022;182518.0;83410.0;68004.0;21024.0;10081.0;167481;83335;84146;121426;62775;58651;112374;61370;51004;9052;1405;7647
17;Totaal over alle leeftijden;2023;183233.0;83586.0;68351.0;21132.0;10165.0;169990;84909;85080;121149;62635;58514;111520;60899;50621;9629;1736;7893
18;Totaal over alle leeftijden;2024;183820.0;83718.0;68622.0;21234.0;10246.0;172604;86529;86075;120861;62486;58375;110666;60438;50228;10195;2048;8147
19;Totaal over alle leeftijden;2025;184281.0;83818.0;68815.0;21329.0;10319.0;175331;88201;87130;120602;62355;58247;109793;59977;49816;10809;2378;8431
20;Totaal over alle leeftijden;2026;184598.0;83864.0;68943.0;21401.0;10389.0;178142;89896;88246;120348;62222;58126;108917;59527;49389;11431;2695;8737
21;Totaal over alle leeftijden;2027;184801.0;83848.0;69046.0;21460.0;10448.0;181052;91596;89455;120085;62088;57997;108033;59079;48955;12052;3009;9042
22;Totaal over alle leeftijden;2028;184885.0;83770.0;69127.0;21495.0;10492.0;184035;93288;90746;119844;61962;57882;107144;58631;48512;12700;3331;9370
23;Totaal over alle leeftijden;2029;184836.0;83595.0;69193.0;21514.0;10534.0;187062;94963;92099;119610;61842;57768;106235;58175;48060;13375;3667;9708
24;Totaal over alle leeftijden;2030;184627.0;83319.0;69232.0;21509.0;10568.0;190111;96587;93524;119409;61734;57675;105330;57729;47601;14079;4005;10074
25;Totaal over alle leeftijden;2031;184251.0;82943.0;69227.0;21488.0;10593.0;193151;98156;94995;119173;61614;57559;104414;57268;47146;14759;4346;10413
26;Totaal over alle leeftijden;2032;183693.0;82496.0;69138.0;21450.0;10610.0;196171;99702;96468;118967;61507;57460;103506;56820;46686;15461;4687;10774
27;Totaal over alle leeftijden;2033;182955.0;82001.0;68932.0;21397.0;10625.0;199155;101206;97949;118765;61398;57367;102603;56377;46226;16162;5021;11141
28;Totaal over alle leeftijden;2034;182060.0;81493.0;68609.0;21326.0;10632.0;202037;102617;99420;118575;61299;57276;101715;55942;45773;16860;5357;11503
29;Totaal over alle leeftijden;2035;181061.0;80995.0;68192.0;21245.0;10629.0;204763;103925;100838;118385;61200;57185;100846;55521;45325;17539;5679;11860
30;Totaal over alle leeftijden;2036;180003.0;80535.0;67705.0;21151.0;10612.0;207333;105119;102213;118198;61103;57095;99994;55107;44886;18204;5996;12209
31;Totaal over alle leeftijden;2037;178960.0;80130.0;67202.0;21044.0;10584.0;209655;106144;103511;118053;61031;57022;99157;54697;44460;18896;6334;12562
32;Totaal over alle leeftijden;2038;177970.0;79795.0;66706.0;20929.0;10540.0;211714;107010;104704;117893;60942;56951;98368;54313;44055;19525;6629;12896
33;Totaal over alle leeftijden;2039;177094.0;79538.0;66266.0;20807.0;10483.0;213488;107715;105773;117732;60860;56872;97599;53935;43664;20133;6925;13208
34;Totaal over alle leeftijden;2040;176361.0;79355.0;65899.0;20684.0;10423.0;215012;108280;106733;117585;60789;56796;96887;53584;43303;20698;7205;13493
35;Totaal over alle leeftijden;2041;175804.0;79262.0;65619.0;20564.0;10359.0;216260;108700;107560;117456;60719;56737;96215;53257;42959;21241;7462;13778
36;Totaal over alle leeftijden;2042;175417.0;79247.0;65416.0;20459.0;10295.0;217271;109005;108266;117326;60647;56679;95584;52947;42637;21742;7700;14042
37;Totaal over alle leeftijden;2043;175220.0;79308.0;65299.0;20372.0;10241.0;218063;109197;108866;117221;60591;56630;95015;52662;42353;22206;7929;14277
38;Totaal over alle leeftijden;2044;175209.0;79433.0;65264.0;20315.0;10197.0;218655;109298;109357;117104;60530;56574;94495;52399;42096;22609;8131;14478
39;Totaal over alle leeftijden;2045;175371.0;79621.0;65306.0;20282.0;10162.0;219075;109321;109754;116995;60475;56520;94033;52162;41870;22962;8313;14650
40;Totaal over alle leeftijden;2046;175690.0;79862.0;65414.0;20271.0;10144.0;219297;109265;110032;116905;60424;56481;93628;51950;41678;23277;8474;14803
41;Totaal over alle leeftijden;2047;176131.0;80126.0;65585.0;20282.0;10138.0;219374;109145;110230;116816;60377;56439;93277;51755;41522;23539;8622;14917
42;Totaal over alle leeftijden;2048;176653.0;80396.0;65802.0;20311.0;10145.0;219334;108966;110368;116739;60332;56407;92986;51584;41402;23753;8748;15005
43;Totaal over alle leeftijden;2049;177278.0;80709.0;66050.0;20356.0;10162.0;219167;108719;110448;116679;60308;56371;92776;51448;41328;23903;8860;15043
44;0;2006;;;;;;795;424;372;899;414;485;537;276;261;362;138;224
45;0;2007;;;;;;773;411;362;943;435;508;528;272;257;415;163;251
46;0;2008;;;;;;755;402;353;990;461;529;519;266;252;471;195;277
47;0;2009;;;;;;740;394;346;1033;485;548;509;262;247;524;223;301
48;0;2010;;;;;;733;393;340;1064;502;562;498;256;242;566;246;320
49;0;2011;;;;;;713;379;334;1089;518;571;487;251;236;602;267;335
50;0;2012;;;;;;702;373;328;1097;522;575;478;247;231;619;275;344
51;0;2013;;;;;;692;368;324;1099;524;575;469;243;226;630;281;349
52;0;2014;;;;;;684;364;320;1096;522;574;463;239;223;633;283;351
53;0;2015;;;;;;678;361;317;1093;521;572;458;237;220;635;284;352
54;0;2016;;;;;;672;358;314;1091;521;570;456;236;219;635;285;351
55;0;2017;;;;;;666;354;311;1088;519;569;455;236;220;633;283;349
56;0;2018;;;;;;661;351;310;1084;517;567;455;235;220;629;282;347
57;0;2019;;;;;;656;348;308;1080;516;564;455;236;219;625;280;345
58;0;2020;;;;;;650;345;306;1078;515;563;455;235;220;623;280;343
59;0;2021;;;;;;645;342;304;1075;514;561;455;235;220;620;279;341
60;0;2022;;;;;;639;338;301;1072;512;560;454;234;219;618;278;341
61;0;2023;;;;;;633;334;299;1070;511;559;452;233;219;618;278;340
62;0;2024;;;;;;627;330;296;1067;510;557;451;233;218;616;277;339
63;0;2025;;;;;;620;326;293;1064;509;555;449;232;217;615;277;338
64;0;2026;;;;;;612;322;290;1061;507;554;447;231;216;614;276;338
65;0;2027;;;;;;605;318;287;1060;507;553;445;229;215;615;278;338
66;0;2028;;;;;;597;313;284;1056;505;551;441;228;213;615;277;338
67;0;2029;;;;;;589;308;281;1056;505;551;439;227;212;617;278;339
68;0;2030;;;;;;580;303;277;1052;503;549;434;224;210;618;279;339
69;0;2031;;;;;;571;298;273;1049;502;547;432;223;209;617;279;338
70;0;2032;;;;;;562;293;269;1049;502;547;428;220;207;622;282;340
71;0;2033;;;;;;552;287;265;1047;501;546;423;218;205;624;283;341
72;0;2034;;;;;;542;282;260;1044;500;544;418;215;203;626;285;341
73;0;2035;;;;;;532;276;256;1043;499;544;414;213;201;629;286;343
74;0;2036;;;;;;521;270;251;1041;498;543;409;211;198;632;287;345
75;0;2037;;;;;;511;265;247;1039;497;542;404;208;196;635;289;346
76;0;2038;;;;;;502;259;242;1039;497;542;400;206;194;640;291;348
77;0;2039;;;;;;492;254;238;1037;496;541;396;204;192;641;292;349
78;0;2040;;;;;;484;249;234;1037;497;540;392;202;190;645;295;350
79;0;2041;;;;;;475;245;231;1036;496;540;389;201;189;647;295;352
80;0;2042;;;;;;468;240;228;1034;495;539;386;199;187;648;296;352
81;0;2043;;;;;;461;237;224;1033;495;538;384;198;186;649;297;352
82;0;2044;;;;;;455;233;222;1032;494;538;383;197;186;649;297;352
83;0;2045;;;;;;449;230;219;1031;494;537;382;196;185;649;298;352
84;0;2046;;;;;;443;227;217;1030;494;536;381;196;186;649;298;350
85;0;2047;;;;;;438;224;215;1030;493;537;382;196;185;649;297;352
86;0;2048;;;;;;434;221;213;1029;493;536;382;196;186;647;297;350
87;0;2049;;;;;;429;218;211;1028;493;535;383;197;186;645;296;349
88;1;2006;;;;;;112;61;51;1283;555;728;1750;901;849;-467;-346;-121
89;1;2007;;;;;;106;58;48;1348;584;764;1688;865;823;-340;-281;-59
90;1;2008;;;;;;100;55;46;1407;614;793;1656;849;808;-249;-235;-15
91;1;2009;;;;;;96;52;43;1454;643;811;1624;833;791;-170;-190;20
92;1;2010;;;;;;91;50;41;1486;664;822;1591;818;774;-105;-154;48
93;1;2011;;;;;;87;48;39;1505;679;826;1556;801;756;-51;-122;70
94;1;2012;;;;;;83;46;37;1516;686;830;1523;785;738;-7;-99;92
95;1;2013;;;;;;80;44;36;1520;688;832;1493;770;724;27;-82;108
96;1;2014;;;;;;76;42;34;1517;686;831;1470;758;711;47;-72;120
97;1;2015;;;;;;74;41;33;1514;685;829;1453;750;703;61;-65;126
98;1;2016;;;;;;71;39;32;1511;684;827;1445;746;699;66;-62;128
99;1;2017;;;;;;69;38;31;1508;683;825;1442;744;698;66;-61;127
100;1;2018;;;;;;67;37;30;1505;681;824;1439;742;697;66;-61;127
101;1;2019;;;;;;65;36;29;1502;681;821;1437;741;697;65;-60;124
102;1;2020;;;;;;63;35;28;1499;679;820;1436;740;696;63;-61;124
103;1;2021;;;;;;62;34;28;1496;678;818;1433;738;695;63;-60;123
104;1;2022;;;;;;60;33;27;1493;676;817;1431;737;694;62;-61;123
105;1;2023;;;;;;59;32;26;1490;675;815;1427;734;693;63;-59;122
106;1;2024;;;;;;57;32;26;1488;674;814;1422;732;690;66;-58;124
107;1;2025;;;;;;56;31;25;1486;673;813;1417;729;688;69;-56;125
108;1;2026;;;;;;55;30;25;1484;673;811;1409;726;684;75;-53;127
109;1;2027;;;;;;54;29;24;1481;671;810;1402;721;681;79;-50;129
110;1;2028;;;;;;53;29;24;1479;671;808;1393;717;676;86;-46;132
111;1;2029;;;;;;51;28;23;1478;670;808;1383;712;672;95;-42;136
112;1;2030;;;;;;50;27;23;1475;669;806;1374;707;667;101;-38;140
113;1;2031;;;;;;49;26;22;1473;668;805;1362;701;661;111;-33;144
114;1;2032;;;;;;47;26;22;1470;667;803;1351;695;656;119;-28;147
115;1;2033;;;;;;46;25;21;1469;667;802;1338;688;649;131;-21;153
116;1;2034;;;;;;45;24;21;1468;666;802;1323;681;642;145;-15;160
117;1;2035;;;;;;43;23;20;1466;666;800;1309;674;635;157;-8;165
118;1;2036;;;;;;42;22;19;1464;665;799;1294;666;628;170;-1;171
119;1;2037;;;;;;40;22;19;1464;665;799;1279;658;620;185;7;179
120;1;2038;;;;;;39;21;18;1463;665;798;1264;651;614;199;14;184
121;1;2039;;;;;;38;20;17;1461;664;797;1251;644;607;210;20;190
122;1;2040;;;;;;36;19;17;1460;664;796;1238;637;600;222;27;196
123;1;2041;;;;;;35;19;16;1458;663;795;1227;632;596;231;31;199
124;1;2042;;;;;;34;18;16;1458;663;795;1218;627;591;240;36;204
125;1;2043;;;;;;33;18;15;1458;663;795;1210;622;588;248;41;207
126;1;2044;;;;;;32;17;15;1458;663;795;1203;619;585;255;44;210
127;1;2045;;;;;;31;17;14;1456;662;794;1199;616;583;257;46;211
128;1;2046;;;;;;30;16;14;1457;663;794;1196;615;581;261;48;213
129;1;2047;;;;;;29;16;14;1455;662;793;1194;614;581;261;48;212
130;1;2048;;;;;;28;15;13;1455;662;793;1195;613;582;260;49;211
131;1;2049;;;;;;28;15;13;1455;662;793;1195;613;582;260;49;211
132;2;2006;;;;;;67;36;30;1396;625;771;1912;980;933;-516;-355;-162
133;2;2007;;;;;;62;34;28;1464;656;808;1822;935;888;-358;-279;-80
134;2;2008;;;;;;60;33;27;1530;692;838;1762;901;861;-232;-209;-23
135;2;2009;;;;;;57;31;26;1581;723;858;1727;883;844;-146;-160;14
136;2;2010;;;;;;55;30;25;1617;748;869;1692;867;825;-75;-119;44
137;2;2011;;;;;;53;29;24;1634;761;873;1657;850;806;-23;-89;67
138;2;2012;;;;;;51;28;23;1648;771;877;1622;834;788;26;-63;89
139;2;2013;;;;;;49;27;22;1651;773;878;1588;817;771;63;-44;107
140;2;2014;;;;;;47;26;21;1649;772;877;1561;804;757;88;-32;120
141;2;2015;;;;;;46;25;20;1644;770;874;1540;794;746;104;-24;128
142;2;2016;;;;;;44;25;20;1642;769;873;1528;787;741;114;-18;132
143;2;2017;;;;;;43;24;19;1639;768;871;1521;783;739;118;-15;133
144;2;2018;;;;;;42;23;19;1636;767;869;1517;780;736;119;-13;133
145;2;2019;;;;;;41;23;18;1632;765;867;1513;777;735;120;-12;132
146;2;2020;;;;;;40;22;18;1630;764;866;1511;777;734;119;-13;132
147;2;2021;;;;;;40;22;18;1627;763;864;1508;775;733;119;-12;131
148;2;2022;;;;;;39;21;17;1624;761;863;1504;773;731;120;-12;132
149;2;2023;;;;;;38;21;17;1621;760;861;1501;771;730;120;-11;131
150;2;2024;;;;;;37;21;17;1619;759;860;1495;768;727;124;-9;133
151;2;2025;;;;;;37;20;17;1618;759;859;1489;764;725;129;-5;134
152;2;2026;;;;;;36;20;16;1614;757;857;1481;761;721;133;-4;136
153;2;2027;;;;;;35;19;16;1613;757;856;1474;757;717;139;0;139
154;2;2028;;;;;;35;19;16;1609;755;854;1464;752;712;145;3;142
155;2;2029;;;;;;34;19;15;1609;755;854;1455;747;708;154;8;146
156;2;2030;;;;;;33;18;15;1606;754;852;1444;742;702;162;12;150
157;2;2031;;;;;;33;18;15;1606;754;852;1433;736;697;173;18;155
158;2;2032;;;;;;32;17;15;1603;753;850;1422;730;691;181;23;159
159;2;2033;;;;;;31;17;14;1603;753;850;1408;723;684;195;30;166
160;2;2034;;;;;;30;16;14;1600;751;849;1394;717;678;206;34;171
161;2;2035;;;;;;30;16;14;1598;751;847;1380;709;670;218;42;177
162;2;2036;;;;;;29;16;13;1597;750;847;1365;702;664;232;48;184
163;2;2037;;;;;;28;15;13;1597;751;846;1349;694;656;248;57;190
164;2;2038;;;;;;27;15;12;1595;749;846;1333;686;648;262;63;198
165;2;2039;;;;;;26;14;12;1595;750;845;1318;678;640;277;72;205
166;2;2040;;;;;;26;14;12;1594;749;845;1304;671;634;290;78;211
167;2;2041;;;;;;25;13;12;1591;748;843;1291;664;627;300;84;216
168;2;2042;;;;;;24;13;11;1592;748;844;1281;658;622;311;90;222
169;2;2043;;;;;;24;13;11;1590;747;843;1270;653;617;320;94;226
170;2;2044;;;;;;23;12;11;1591;748;843;1262;648;613;329;100;230
171;2;2045;;;;;;23;12;10;1589;747;842;1255;644;610;334;103;232
172;2;2046;;;;;;22;12;10;1590;748;842;1251;642;609;339;106;233
173;2;2047;;;;;;22;12;10;1589;747;842;1248;640;608;341;107;234
174;2;2048;;;;;;21;11;10;1589;748;841;1246;639;607;343;109;234
175;2;2049;;;;;;21;11;10;1588;747;841;1247;639;608;341;108;233
176;3;2006;;;;;;52;28;24;1298;639;659;2012;1042;970;-714;-403;-311
177;3;2007;;;;;;49;27;23;1364;672;692;1972;1008;964;-608;-336;-272
178;3;2008;;;;;;46;25;21;1428;708;720;1881;964;917;-453;-256;-197
179;3;2009;;;;;;44;24;20;1489;743;746;1822;932;890;-333;-189;-144
180;3;2010;;;;;;42;23;19;1530;770;760;1784;913;871;-254;-143;-111
181;3;2011;;;;;;41;22;19;1558;787;771;1748;897;851;-190;-110;-80
182;3;2012;;;;;;39;21;18;1569;795;774;1711;879;832;-142;-84;-58
183;3;2013;;;;;;38;21;17;1573;797;776;1677;863;814;-104;-66;-38
184;3;2014;;;;;;37;20;17;1569;795;774;1646;848;798;-77;-53;-24
185;3;2015;;;;;;36;20;16;1566;793;773;1622;835;787;-56;-42;-14
186;3;2016;;;;;;35;19;16;1563;792;771;1607;828;779;-44;-36;-8
187;3;2017;;;;;;34;19;15;1560;791;769;1597;822;775;-37;-31;-6
188;3;2018;;;;;;33;18;15;1556;789;767;1590;817;772;-34;-28;-5
189;3;2019;;;;;;33;18;15;1552;787;765;1584;814;770;-32;-27;-5
190;3;2020;;;;;;32;17;14;1550;786;764;1578;811;767;-28;-25;-3
191;3;2021;;;;;;31;17;14;1547;785;762;1574;808;766;-27;-23;-4
192;3;2022;;;;;;31;17;14;1544;783;761;1570;806;764;-26;-23;-3
193;3;2023;;;;;;30;17;14;1540;782;758;1565;804;762;-25;-22;-4
194;3;2024;;;;;;30;16;14;1538;781;757;1561;801;760;-23;-20;-3
195;3;2025;;;;;;29;16;13;1534;779;755;1554;797;756;-20;-18;-1
196;3;2026;;;;;;29;16;13;1533;779;754;1546;794;752;-13;-15;2
197;3;2027;;;;;;28;15;13;1528;776;752;1538;789;749;-10;-13;3
198;3;2028;;;;;;28;15;13;1528;776;752;1529;785;744;-1;-9;8
199;3;2029;;;;;;28;15;13;1524;774;750;1519;780;739;5;-6;11
200;3;2030;;;;;;27;15;12;1521;773;748;1509;775;734;12;-2;14
201;3;2031;;;;;;27;14;12;1520;772;748;1497;769;728;23;3;20
202;3;2032;;;;;;26;14;12;1518;772;746;1485;763;722;33;9;24
203;3;2033;;;;;;25;14;12;1516;770;746;1472;757;716;44;13;30
204;3;2034;;;;;;25;13;12;1514;770;744;1459;750;709;55;20;35
205;3;2035;;;;;;24;13;11;1513;769;744;1445;743;702;68;26;42
206;3;2036;;;;;;24;13;11;1512;769;743;1429;735;694;83;34;49
207;3;2037;;;;;;23;12;11;1510;768;742;1414;727;687;96;41;55
208;3;2038;;;;;;23;12;11;1508;767;741;1398;719;679;110;48;62
209;3;2039;;;;;;22;12;10;1507;766;741;1382;711;671;125;55;70
210;3;2040;;;;;;21;11;10;1505;765;740;1367;703;664;138;62;76
211;3;2041;;;;;;21;11;10;1506;766;740;1352;695;657;154;71;83
212;3;2042;;;;;;20;11;10;1505;766;739;1339;689;650;166;77;89
213;3;2043;;;;;;20;11;9;1503;765;738;1328;683;645;176;82;93
214;3;2044;;;;;;19;10;9;1502;764;738;1317;677;640;185;87;98
215;3;2045;;;;;;19;10;9;1501;764;737;1309;673;636;192;91;101
216;3;2046;;;;;;19;10;9;1501;763;738;1302;669;633;199;94;105
217;3;2047;;;;;;18;10;9;1501;764;737;1298;666;631;203;98;106
218;3;2048;;;;;;18;10;8;1500;763;737;1295;664;630;205;99;107
219;3;2049;;;;;;18;9;8;1501;764;737;1294;663;631;207;101;106
220;4;2006;;;;;;32;18;14;1117;574;543;1958;997;961;-841;-423;-418
221;4;2007;;;;;;31;17;14;1172;604;568;1965;1000;964;-793;-396;-396
222;4;2008;;;;;;29;16;13;1232;637;595;1926;969;957;-694;-332;-362
223;4;2009;;;;;;27;15;12;1290;670;620;1839;929;910;-549;-259;-290
224;4;2010;;;;;;26;15;11;1332;693;639;1782;899;883;-450;-206;-244
225;4;2011;;;;;;25;14;11;1361;711;650;1743;881;863;-382;-170;-213
226;4;2012;;;;;;24;14;11;1376;718;658;1707;864;843;-331;-146;-185
227;4;2013;;;;;;23;13;10;1379;720;659;1673;849;824;-294;-129;-165
228;4;2014;;;;;;23;13;10;1374;718;656;1642;834;808;-268;-116;-152
229;4;2015;;;;;;22;13;10;1370;715;655;1615;821;794;-245;-106;-139
230;4;2016;;;;;;22;12;9;1366;714;652;1597;811;786;-231;-97;-134
231;4;2017;;;;;;21;12;9;1363;712;651;1584;805;779;-221;-93;-128
232;4;2018;;;;;;21;12;9;1360;711;649;1574;799;775;-214;-88;-126
233;4;2019;;;;;;20;11;9;1354;708;646;1565;795;770;-211;-87;-124
234;4;2020;;;;;;20;11;9;1351;706;645;1558;791;767;-207;-85;-122
235;4;2021;;;;;;19;11;8;1348;705;643;1551;787;763;-203;-82;-120
236;4;2022;;;;;;19;11;8;1345;703;642;1545;785;760;-200;-82;-118
237;4;2023;;;;;;19;11;8;1342;702;640;1540;783;757;-198;-81;-117
238;4;2024;;;;;;19;10;8;1338;700;638;1533;779;754;-195;-79;-116
239;4;2025;;;;;;18;10;8;1335;698;637;1527;776;751;-192;-78;-114
240;4;2026;;;;;;18;10;8;1332;697;635;1519;773;746;-187;-76;-111
241;4;2027;;;;;;18;10;8;1329;696;633;1511;769;742;-182;-73;-109
242;4;2028;;;;;;18;10;8;1327;694;633;1503;765;738;-176;-71;-105
243;4;2029;;;;;;17;10;8;1324;693;631;1492;760;732;-168;-67;-101
244;4;2030;;;;;;17;9;8;1322;692;630;1481;755;726;-159;-63;-96
245;4;2031;;;;;;17;9;7;1319;690;629;1471;751;720;-152;-61;-91
246;4;2032;;;;;;16;9;7;1316;689;627;1458;744;714;-142;-55;-87
247;4;2033;;;;;;16;9;7;1315;688;627;1446;739;707;-131;-51;-80
248;4;2034;;;;;;16;9;7;1313;687;626;1433;732;701;-120;-45;-75
249;4;2035;;;;;;15;9;7;1309;685;624;1419;726;693;-110;-41;-69
