ID;Toepassingsgebieden;Perioden;TotaalSmeermiddelenEnVetten_1;Mineraal_2;Synthetisch_3;Smeervetten_4
0;Totaal alle toepassingsgebieden;2000 1e kwartaal;40626;35266;4155;1205
1;Totaal alle toepassingsgebieden;2000 2e kwartaal;36460;32276;2781;1403
2;Totaal alle toepassingsgebieden;2000 1e halfjaar;77086;67542;6936;2608
3;Totaal alle toepassingsgebieden;2000 3e kwartaal;34671;30292;3243;1136
4;Totaal alle toepassingsgebieden;2000 4e kwartaal;42928;38672;2933;1323
5;Totaal alle toepassingsgebieden;2000 2e halfjaar;77599;68964;6176;2459
6;Totaal alle toepassingsgebieden;2000;154685;136506;13112;5067
7;Totaal alle toepassingsgebieden;2001 1e kwartaal;38539;34343;3015;1181
8;Totaal alle toepassingsgebieden;2001 2e kwartaal;38076;33948;2965;1163
9;Totaal alle toepassingsgebieden;2001 1e halfjaar;76615;68291;5980;2344
10;Totaal alle toepassingsgebieden;2001 3e kwartaal;36740;32616;2928;1196
11;Totaal alle toepassingsgebieden;2001 4e kwartaal;41810;37037;3535;1238
12;Totaal alle toepassingsgebieden;2001 2e halfjaar;78550;69672;6444;2434
13;Totaal alle toepassingsgebieden;2001;155165;137911;12476;4778
14;Totaal alle toepassingsgebieden;2002 1e kwartaal;39899;35845;2812;1242
15;Totaal alle toepassingsgebieden;2002 2e kwartaal;42101;37366;3455;1280
16;Totaal alle toepassingsgebieden;2002 1e halfjaar;82000;73211;6267;2522
17;Totaal alle toepassingsgebieden;2002 3e kwartaal;38334;34186;3003;1145
18;Totaal alle toepassingsgebieden;2002 4e kwartaal;32360;28795;2662;903
19;Totaal alle toepassingsgebieden;2002 2e halfjaar;70694;62981;5665;2048
20;Totaal alle toepassingsgebieden;2002;152694;136192;11932;4570
21;Totaal alle toepassingsgebieden;2003 1e kwartaal;31726;28150;2668;908
22;Totaal alle toepassingsgebieden;2003 2e kwartaal;39702;34823;3643;1236
23;Totaal alle toepassingsgebieden;2003 1e halfjaar;71428;62973;6311;2144
24;Totaal alle toepassingsgebieden;2003 3e kwartaal;29832;25789;3009;1034
25;Totaal alle toepassingsgebieden;2003 4e kwartaal;40431;35048;4113;1270
26;Totaal alle toepassingsgebieden;2003 2e halfjaar;70263;60837;7122;2304
27;Totaal alle toepassingsgebieden;2003;141691;123810;13433;4448
28;Wegverkeer;2000 1e kwartaal;11015;8748;2093;174
29;Wegverkeer;2000 2e kwartaal;10272;8579;1499;194
30;Wegverkeer;2000 1e halfjaar;21287;17327;3592;368
31;Wegverkeer;2000 3e kwartaal;9660;7682;1777;201
32;Wegverkeer;2000 4e kwartaal;11511;9702;1625;184
33;Wegverkeer;2000 2e halfjaar;21171;17384;3402;385
34;Wegverkeer;2000;42458;34711;6994;753
35;Wegverkeer;2001 1e kwartaal;10466;8815;1448;203
36;Wegverkeer;2001 2e kwartaal;10523;8854;1464;205
37;Wegverkeer;2001 1e halfjaar;20989;17669;2912;408
38;Wegverkeer;2001 3e kwartaal;10053;8347;1496;210
39;Wegverkeer;2001 4e kwartaal;11141;8957;1942;242
40;Wegverkeer;2001 2e halfjaar;21194;17304;3438;452
41;Wegverkeer;2001;42183;34973;6350;860
42;Wegverkeer;2002 1e kwartaal;11185;9361;1559;265
43;Wegverkeer;2002 2e kwartaal;11791;9775;1721;295
44;Wegverkeer;2002 1e halfjaar;22976;19136;3280;560
45;Wegverkeer;2002 3e kwartaal;11470;9552;1615;303
46;Wegverkeer;2002 4e kwartaal;10384;8834;1326;224
47;Wegverkeer;2002 2e halfjaar;21854;18386;2941;527
48;Wegverkeer;2002;44830;37522;6221;1087
49;Wegverkeer;2003 1e kwartaal;10324;8623;1499;202
50;Wegverkeer;2003 2e kwartaal;11389;9167;2003;219
51;Wegverkeer;2003 1e halfjaar;21713;17790;3502;421
52;Wegverkeer;2003 3e kwartaal;9791;7917;1575;299
53;Wegverkeer;2003 4e kwartaal;10810;8504;2035;271
54;Wegverkeer;2003 2e halfjaar;20601;16421;3610;570
55;Wegverkeer;2003;42314;34211;7112;991
56;Transportsector;2000 1e kwartaal;3081;2547;435;99
57;Transportsector;2000 2e kwartaal;2132;1849;196;87
58;Transportsector;2000 1e halfjaar;5213;4396;631;186
59;Transportsector;2000 3e kwartaal;2153;1814;266;73
60;Transportsector;2000 4e kwartaal;2948;2575;287;86
61;Transportsector;2000 2e halfjaar;5101;4389;553;159
62;Transportsector;2000;10314;8785;1184;345
63;Transportsector;2001 1e kwartaal;2325;1983;300;42
64;Transportsector;2001 2e kwartaal;2355;2080;235;40
65;Transportsector;2001 1e halfjaar;4680;4063;535;82
66;Transportsector;2001 3e kwartaal;2764;2560;95;109
67;Transportsector;2001 4e kwartaal;3167;2749;432;-14
68;Transportsector;2001 2e halfjaar;5931;5309;527;95
69;Transportsector;2001;10611;9372;1062;177
70;Transportsector;2002 1e kwartaal;2804;2492;229;83
71;Transportsector;2002 2e kwartaal;2864;2538;246;80
72;Transportsector;2002 1e halfjaar;5668;5030;475;163
73;Transportsector;2002 3e kwartaal;2533;2244;211;78
74;Transportsector;2002 4e kwartaal;2401;2191;129;81
75;Transportsector;2002 2e halfjaar;4934;4435;340;159
76;Transportsector;2002;10602;9465;815;322
77;Transportsector;2003 1e kwartaal;1837;1615;148;74
78;Transportsector;2003 2e kwartaal;2504;2149;251;104
79;Transportsector;2003 1e halfjaar;4341;3764;399;178
80;Transportsector;2003 3e kwartaal;1271;1049;155;67
81;Transportsector;2003 4e kwartaal;2319;2006;230;83
82;Transportsector;2003 2e halfjaar;3590;3055;385;150
83;Transportsector;2003;7931;6819;784;328
84;Binnenvaart en binnenvisserij;2000 1e kwartaal;3865;3748;40;77
85;Binnenvaart en binnenvisserij;2000 2e kwartaal;3651;3572;28;51
86;Binnenvaart en binnenvisserij;2000 1e halfjaar;7516;7320;68;128
87;Binnenvaart en binnenvisserij;2000 3e kwartaal;2905;2823;26;56
88;Binnenvaart en binnenvisserij;2000 4e kwartaal;4246;4184;17;45
89;Binnenvaart en binnenvisserij;2000 2e halfjaar;7151;7007;43;101
90;Binnenvaart en binnenvisserij;2000;14667;14327;111;229
91;Binnenvaart en binnenvisserij;2001 1e kwartaal;2106;2034;10;62
92;Binnenvaart en binnenvisserij;2001 2e kwartaal;1949;1896;10;43
93;Binnenvaart en binnenvisserij;2001 1e halfjaar;4055;3930;20;105
94;Binnenvaart en binnenvisserij;2001 3e kwartaal;1662;1599;16;47
95;Binnenvaart en binnenvisserij;2001 4e kwartaal;1859;1784;13;62
96;Binnenvaart en binnenvisserij;2001 2e halfjaar;3521;3383;29;109
97;Binnenvaart en binnenvisserij;2001;7576;7313;49;214
98;Binnenvaart en binnenvisserij;2002 1e kwartaal;2100;2013;21;66
99;Binnenvaart en binnenvisserij;2002 2e kwartaal;2165;2083;18;64
100;Binnenvaart en binnenvisserij;2002 1e halfjaar;4265;4096;39;130
101;Binnenvaart en binnenvisserij;2002 3e kwartaal;2263;2181;14;68
102;Binnenvaart en binnenvisserij;2002 4e kwartaal;1823;1754;12;57
103;Binnenvaart en binnenvisserij;2002 2e halfjaar;4086;3935;26;125
104;Binnenvaart en binnenvisserij;2002;8351;8031;65;255
105;Binnenvaart en binnenvisserij;2003 1e kwartaal;1830;1726;35;69
106;Binnenvaart en binnenvisserij;2003 2e kwartaal;2442;2372;13;57
107;Binnenvaart en binnenvisserij;2003 1e halfjaar;4272;4098;48;126
108;Binnenvaart en binnenvisserij;2003 3e kwartaal;1523;1446;10;67
109;Binnenvaart en binnenvisserij;2003 4e kwartaal;2506;2419;13;74
110;Binnenvaart en binnenvisserij;2003 2e halfjaar;4029;3865;23;141
111;Binnenvaart en binnenvisserij;2003;8301;7963;71;267
112;Landbouw;2000 1e kwartaal;726;680;0;46
113;Landbouw;2000 2e kwartaal;711;679;0;32
114;Landbouw;2000 1e halfjaar;1437;1359;0;78
115;Landbouw;2000 3e kwartaal;583;547;0;36
116;Landbouw;2000 4e kwartaal;766;724;0;42
117;Landbouw;2000 2e halfjaar;1349;1271;0;78
118;Landbouw;2000;2786;2630;0;156
119;Landbouw;2001 1e kwartaal;1021;987;0;34
120;Landbouw;2001 2e kwartaal;907;875;0;32
121;Landbouw;2001 1e halfjaar;1928;1862;0;66
122;Landbouw;2001 3e kwartaal;602;563;0;39
123;Landbouw;2001 4e kwartaal;613;588;0;25
124;Landbouw;2001 2e halfjaar;1215;1151;0;64
125;Landbouw;2001;3143;3013;0;130
126;Landbouw;2002 1e kwartaal;597;561;0;36
127;Landbouw;2002 2e kwartaal;649;613;0;36
128;Landbouw;2002 1e halfjaar;1246;1174;0;72
129;Landbouw;2002 3e kwartaal;591;559;0;32
130;Landbouw;2002 4e kwartaal;453;432;0;21
131;Landbouw;2002 2e halfjaar;1044;991;0;53
132;Landbouw;2002;2290;2165;0;125
133;Landbouw;2003 1e kwartaal;743;713;0;30
134;Landbouw;2003 2e kwartaal;802;764;2;36
135;Landbouw;2003 1e halfjaar;1545;1477;2;66
136;Landbouw;2003 3e kwartaal;710;662;5;43
137;Landbouw;2003 4e kwartaal;662;627;4;31
138;Landbouw;2003 2e halfjaar;1372;1289;9;74
139;Landbouw;2003;2917;2766;11;140
140;Industrie;2000 1e kwartaal;13582;12930;410;242
141;Industrie;2000 2e kwartaal;12447;11830;388;229
142;Industrie;2000 1e halfjaar;26029;24760;798;471
143;Industrie;2000 3e kwartaal;11941;11387;324;230
144;Industrie;2000 4e kwartaal;14043;13378;382;283
145;Industrie;2000 2e halfjaar;25984;24765;706;513
146;Industrie;2000;52013;49525;1504;984
147;Industrie;2001 1e kwartaal;14117;13490;308;319
148;Industrie;2001 2e kwartaal;13905;13247;348;310
149;Industrie;2001 1e halfjaar;28022;26737;656;629
150;Industrie;2001 3e kwartaal;11799;11265;292;242
151;Industrie;2001 4e kwartaal;14794;14111;399;284
152;Industrie;2001 2e halfjaar;26593;25376;691;526
153;Industrie;2001;54615;52113;1347;1155
154;Industrie;2002 1e kwartaal;14318;13573;309;436
155;Industrie;2002 2e kwartaal;14152;13327;375;450
156;Industrie;2002 1e halfjaar;28470;26900;684;886
157;Industrie;2002 3e kwartaal;12424;11733;297;394
158;Industrie;2002 4e kwartaal;10560;9844;360;356
159;Industrie;2002 2e halfjaar;22984;21577;657;750
160;Industrie;2002;51454;48477;1341;1636
161;Industrie;2003 1e kwartaal;11020;10285;309;426
162;Industrie;2003 2e kwartaal;13516;12837;322;357
163;Industrie;2003 1e halfjaar;24536;23122;631;783
164;Industrie;2003 3e kwartaal;9940;9079;440;421
165;Industrie;2003 4e kwartaal;12735;11955;407;373
166;Industrie;2003 2e halfjaar;22675;21034;847;794
167;Industrie;2003;47211;44156;1478;1577
168;Andere toepassingsgebieden;2000 1e kwartaal;1028;948;3;77
169;Andere toepassingsgebieden;2000 2e kwartaal;947;872;2;73
170;Andere toepassingsgebieden;2000 1e halfjaar;1975;1820;5;150
171;Andere toepassingsgebieden;2000 3e kwartaal;984;909;4;71
172;Andere toepassingsgebieden;2000 4e kwartaal;1141;970;4;167
173;Andere toepassingsgebieden;2000 2e halfjaar;2125;1879;8;238
174;Andere toepassingsgebieden;2000;4100;3699;13;388
175;Andere toepassingsgebieden;2001 1e kwartaal;1038;951;4;83
176;Andere toepassingsgebieden;2001 2e kwartaal;796;707;4;85
177;Andere toepassingsgebieden;2001 1e halfjaar;1834;1658;8;168
178;Andere toepassingsgebieden;2001 3e kwartaal;824;730;5;89
179;Andere toepassingsgebieden;2001 4e kwartaal;1107;1009;9;89
180;Andere toepassingsgebieden;2001 2e halfjaar;1931;1739;14;178
181;Andere toepassingsgebieden;2001;3765;3397;22;346
182;Andere toepassingsgebieden;2002 1e kwartaal;1158;1059;4;95
183;Andere toepassingsgebieden;2002 2e kwartaal;1168;1066;6;96
184;Andere toepassingsgebieden;2002 1e halfjaar;2326;2125;10;191
185;Andere toepassingsgebieden;2002 3e kwartaal;2077;1999;38;40
186;Andere toepassingsgebieden;2002 4e kwartaal;2188;2085;50;53
187;Andere toepassingsgebieden;2002 2e halfjaar;4265;4084;88;93
188;Andere toepassingsgebieden;2002;6591;6209;98;284
189;Andere toepassingsgebieden;2003 1e kwartaal;1989;1904;34;51
190;Andere toepassingsgebieden;2003 2e kwartaal;2488;2379;59;50
191;Andere toepassingsgebieden;2003 1e halfjaar;4477;4283;93;101
192;Andere toepassingsgebieden;2003 3e kwartaal;2445;2312;76;57
193;Andere toepassingsgebieden;2003 4e kwartaal;2463;2326;80;57
194;Andere toepassingsgebieden;2003 2e halfjaar;4908;4638;156;114
195;Andere toepassingsgebieden;2003;9385;8921;249;215
196;Onbekend;2000 1e kwartaal;7329;5665;1174;490
197;Onbekend;2000 2e kwartaal;6300;4895;668;737
198;Onbekend;2000 1e halfjaar;13629;10560;1842;1227
199;Onbekend;2000 3e kwartaal;6445;5130;846;469
200;Onbekend;2000 4e kwartaal;8273;7139;618;516
201;Onbekend;2000 2e halfjaar;14718;12269;1464;985
202;Onbekend;2000;28347;22829;3306;2212
203;Onbekend;2001 1e kwartaal;7466;6083;945;438
204;Onbekend;2001 2e kwartaal;7641;6289;904;448
205;Onbekend;2001 1e halfjaar;15107;12372;1849;886
206;Onbekend;2001 3e kwartaal;9036;7552;1024;460
207;Onbekend;2001 4e kwartaal;9129;7839;740;550
208;Onbekend;2001 2e halfjaar;18165;15410;1745;1010
209;Onbekend;2001;33272;27730;3646;1896
210;Onbekend;2002 1e kwartaal;7737;6786;690;261
211;Onbekend;2002 2e kwartaal;9312;7964;1089;259
212;Onbekend;2002 1e halfjaar;17049;14750;1779;520
213;Onbekend;2002 3e kwartaal;6976;5918;828;230
214;Onbekend;2002 4e kwartaal;4551;3655;785;111
215;Onbekend;2002 2e halfjaar;11527;9573;1613;341
216;Onbekend;2002;28576;24323;3392;861
217;Onbekend;2003 1e kwartaal;3983;3284;643;56
218;Onbekend;2003 2e kwartaal;6561;5155;993;413
219;Onbekend;2003 1e halfjaar;10544;8439;1636;469
220;Onbekend;2003 3e kwartaal;4152;3324;748;80
221;Onbekend;2003 4e kwartaal;8936;7211;1344;381
222;Onbekend;2003 2e halfjaar;13088;10535;2092;461
223;Onbekend;2003;23632;18974;3728;930
