ID;Perioden;TotaalVorderingen_1;ChartaalGeldEnDepositoS_2;TotaalLeningen_3;KortlopendeLeningen_4;LanglopendeLeningen_5;TotaalAandelenEnDeelnemingen_6;BeursgenoteerdeAandelen_7;OverigeAandelenEnDeelnemingen_8;HandelskredietenTransitorischePosten_9;TotaalSchulden_10;ChartaalGeld_11;TotaalEffectenBehalveAandelen_12;KortlopendeEffecten_13;LanglopendeEffecten_14;TotaalLeningen_15;KortlopendeLeningen_16;LanglopendeLeningen_17;HandelskredietenTransitorischePosten_18
0;1999 1e kwartaal;56508;872;8969;2060;6909;36368;13776;22592;10299;229418;1249;197901;9286;188615;19492;3846;15646;10776
1;1999 2e kwartaal;58670;1614;8842;1949;6893;37293;14568;22725;10921;225667;1268;196464;10959;185505;17012;3610;13402;10923
2;1999 3e kwartaal;58996;2347;8518;1642;6876;37904;14238;23666;10227;218473;1267;189756;8695;181061;16379;4625;11754;11071
3;1999 4e kwartaal;74720;3647;8305;1446;6859;51122;26664;24458;11646;215663;1267;185265;5053;180212;17911;6220;11691;11220
4;1999;74720;3647;8305;1446;6859;51122;26664;24458;11646;215663;1267;185265;5053;180212;17911;6220;11691;11220
5;2000 1e kwartaal;80797;7217;7959;1084;6875;55243;30382;24861;10378;226266;1261;195813;13552;182261;17674;7222;10452;11518
6;2000 2e kwartaal;70120;350;7614;723;6891;50952;25720;25232;11204;215933;1290;187614;10330;177284;15730;7176;8554;11299
7;2000 3e kwartaal;64637;4285;7268;361;6907;41838;16167;25671;11246;216097;1285;187230;11514;175716;16354;8411;7943;11228
8;2000 4e kwartaal;57890;330;6923;0;6923;38037;11021;27016;12600;212364;1296;181242;5469;175773;18668;12904;5764;11158
9;2000;57890;330;6923;0;6923;38037;11021;27016;12600;212364;1296;181242;5469;175773;18668;12904;5764;11158
10;2001 1e kwartaal;54942;130;7414;53;7361;35677;9016;26661;11721;218124;1262;184505;14164;170341;21269;16327;4942;11088
11;2001 2e kwartaal;59162;3132;7800;1;7799;35620;7326;28294;12610;218408;1270;189604;14700;174904;17253;12708;4545;10281
12;2001 3e kwartaal;56695;4208;8239;2;8237;32772;5023;27749;11476;216351;1208;188797;13306;175491;16870;12585;4285;9476
13;2001 4e kwartaal;60979;509;8376;0;8376;38555;8788;29767;13539;214874;1258;184223;5708;178515;20721;17690;3031;8672
14;2001;60979;509;8376;0;8376;38555;8788;29767;13539;214874;1258;184223;5708;178515;20721;17690;3031;8672
15;2002 1e kwartaal;60821;747;8511;16;8495;38974;8831;30143;12589;219228;715;184074;16819;167255;25608;21785;3823;8831
16;2002 2e kwartaal;62161;2875;9367;590;8777;37310;7574;29736;12609;218839;703;189909;16884;173025;21590;18019;3571;6637
17;2002 3e kwartaal;59841;1050;10671;1571;9100;36684;6964;29720;11436;227170;680;197265;20827;176438;21677;18522;3155;7548
18;2002 4e kwartaal;63738;346;13348;2454;10894;36953;7463;29490;13091;229155;684;198310;15982;182328;21367;18891;2476;8794
19;2002;63738;346;13348;2454;10894;36953;7463;29490;13091;229155;684;198310;15982;182328;21367;18891;2476;8794
20;2003 1e kwartaal;62888;2458;12085;1724;10361;36628;6956;29672;11717;235470;667;206532;25527;181005;21021;18362;2659;7250
21;2003 2e kwartaal;62875;371;12551;1926;10625;37068;7396;29672;12885;240895;700;207783;26518;181265;23099;20646;2453;9313
22;2003 3e kwartaal;63864;1810;13788;2641;11147;35541;5891;29650;12725;242709;702;214648;24950;189698;18968;16634;2334;8391
23;2003 4e kwartaal;66904;783;15364;4626;10738;36111;6170;29941;14646;242591;719;210657;20239;190418;19991;17762;2229;11224
24;2003;66904;783;15364;4626;10738;36111;6170;29941;14646;242591;719;210657;20239;190418;19991;17762;2229;11224
25;2004 1e kwartaal;67637;2121;17357;6417;10940;35347;6000;29347;12812;252124;694;219882;25746;194136;21606;19335;2271;9942
26;2004 2e kwartaal;70709;1633;20834;9537;11297;35562;6216;29346;12680;258469;706;220699;25668;195031;24838;22638;2200;12226
27;2004 3e kwartaal;68976;3624;17922;6370;11552;35602;6251;29351;11828;254772;690;227887;25498;202389;19642;17458;2184;6553
28;2004 4e kwartaal;65708;1073;15600;3706;11894;33943;5221;28722;15092;253972;701;225811;17685;208126;17241;15151;2090;10219
29;2004;65708;1073;15600;3706;11894;33943;5221;28722;15092;253972;701;225811;17685;208126;17241;15151;2090;10219
30;2005 1e kwartaal;65725;1765;16961;5223;11738;33462;4252;29210;13537;253141;660;224270;19836;204434;19447;17488;1959;8764
31;2005 2e kwartaal;80350;11566;19112;6818;12294;34840;4176;30664;14832;274657;675;243246;17265;225981;22133;20175;1958;8603
32;2005 3e kwartaal;78062;5183;18050;5202;12848;40623;3427;37196;14206;263928;663;237092;21130;215962;20603;18415;2188;5570
33;2005 4e kwartaal;77912;6016;18078;3457;14621;37368;2628;34740;16450;261521;639;232131;17929;214202;18951;16938;2013;9800
34;2005;77912;6016;18078;3457;14621;37368;2628;34740;16450;261521;639;232131;17929;214202;18951;16938;2013;9800
35;2006 1e kwartaal;82885;3297;22026;7373;14653;40907;2866;38041;16655;254200;625;226059;22215;203844;19787;17694;2093;7729
36;2006 2e kwartaal;85162;5368;21214;6078;15136;40795;2754;38041;17785;252064;640;223862;20614;203248;19516;17480;2036;8046
37;2006 3e kwartaal;84346;4157;21290;5147;16143;40689;1374;39315;18210;251527;633;226069;25176;200893;18971;17157;1814;5854
38;2006 4e kwartaal;76303;371;20345;4567;15778;36341;0;36341;19246;244447;625;214289;13818;200471;17511;15719;1792;12022
39;2006;76303;371;20345;4567;15778;36341;0;36341;19246;244447;625;214289;13818;200471;17511;15719;1792;12022
40;2007 1e kwartaal*;80019;1326;23813;8285;15528;37356;0;37356;17524;248176;593;216885;27369;189516;18563;16765;1798;12135
41;2007 2e kwartaal*;85406;6043;25221;9135;16086;37406;0;37406;16736;248572;609;219404;29878;189526;20736;18986;1750;7823
42;2007 3e kwartaal*;80771;1671;25585;8842;16743;37406;0;37406;16109;247533;594;218984;30380;188604;21251;19509;1742;6704
43;2007 4e kwartaal*;88248;4107;24075;6606;17469;41274;0;41274;18792;244710;620;207674;16587;191087;24607;23041;1566;11809
44;2007*;88248;4107;24075;6606;17469;41274;0;41274;18792;244710;620;207674;16587;191087;24607;23041;1566;11809
45;2008 1e kwartaal*;88560;1469;23214;6679;16535;46003;0;46003;17874;248658;590;215966;23200;192766;21875;20328;1547;10227
46;2008 2e kwartaal*;99896;6839;23594;6090;17504;51383;0;51383;18080;246701;594;214596;23508;191088;24535;23038;1497;6976
47;2008 3e kwartaal*;110456;15914;24245;6100;18145;51225;0;51225;19072;261893;594;221316;31782;189534;31281;29800;1481;8702
48;2008 4e kwartaal*;192019;4112;75431;45835;29596;88242;0;88242;24234;342655;614;293138;83735;209403;35988;24333;11655;12915
49;2008*;192019;4112;75431;45835;29596;88242;0;88242;24234;342655;614;293138;83735;209403;35988;24333;11655;12915
50;2009 1e kwartaal*;185042;953;73918;44755;29163;89120;0;89120;21051;333672;614;284399;68428;215971;42122;30500;11622;6537
51;2009 2e kwartaal*;200294;19272;51547;22017;29530;89037;0;89037;40438;370938;614;269524;54007;215517;68484;37330;31154;32316
52;2009 3e kwartaal*;179753;4539;46842;17344;29498;88017;0;88017;40355;346381;614;283868;67531;216337;58212;29144;29068;3687
53;2009 4e kwartaal*;170372;778;47751;19077;28674;81730;0;81730;40113;339923;611;280330;57564;222766;49615;20519;29096;9367
54;2009*;170372;778;47751;19077;28674;81730;0;81730;40113;339923;611;280330;57564;222766;49615;20519;29096;9367
