ID;Perioden;Totaal1eEn2eGeneratie_1;k_1eGeneratie_2;k_2eGeneratie_3;Totaal1eEn2eGeneratie_4;k_1eGeneratie_5;k_2eGeneratie_6;Totaal1eEn2eGeneratie_7;k_1eGeneratie_8;k_2eGeneratie_9;MoederNietWesters_10;MoederWesters_11;NietWesterseAllochtonen_12;WesterseAllochtonen_13;NietWesterseAllochtonen_14;WesterseAllochtonen_15;NietWesterseAllochtonen_16;WesterseAllochtonen_17
0;2000;2775302;1431122;1344180;1408791;886250;522541;1366511;544872;821639;30913;11823;61031;47034;19007;24560;42024;22474
1;2001;2863287;1481665;1381622;1475579;922463;553116;1387708;559202;828506;31508;12356;59344;48389;19530;25623;39814;22766
2;2002;2950204;1530304;1419900;1540563;956387;584176;1409641;573917;835724;31995;12904;59027;49116;20082;26505;38945;22611
3;2003;3037077;1577957;1459120;1605176;989416;615760;1431901;588541;843360;32371;13450;58474;49684;20663;27343;37811;22341
4;2004;3123268;1624230;1499038;1668964;1021292;647672;1454304;602938;851366;32682;13980;57792;50199;21023;28140;36769;22059
5;2005;3208836;1669179;1539657;1731969;1052070;679899;1476867;617109;859758;33000;14489;57014;50468;21347;28902;35667;21566
6;2006;3293386;1712487;1580899;1794123;1081677;712446;1499263;630810;868453;33236;14976;56234;50705;21639;29610;34595;21095
7;2007;3376738;1754142;1622596;1855337;1110134;745203;1521401;644008;877393;33399;15430;55516;50906;21903;30285;33613;20621
8;2008;3458934;1794237;1664697;1915622;1137502;778120;1543312;656735;886577;33500;15853;54929;51062;22149;30928;32780;20134
9;2009;3539875;1832841;1707034;1974986;1163893;811093;1564889;668948;895941;33554;16240;54569;51187;22387;31537;32182;19650
10;2010;3619722;1870154;1749568;2033635;1189522;844113;1586087;680632;905455;33567;16584;54457;51149;22627;32107;31830;19042
11;2011;3698513;1906289;1792224;2091751;1214586;877165;1606762;691703;915059;33550;16882;54536;51002;22875;32611;31661;18391
12;2012;3776160;1941293;1834867;2149372;1239221;910151;1626788;702072;924716;33526;17128;54577;50813;23130;33067;31447;17746
13;2013;3852609;1975155;1877454;2206498;1263408;943090;1646111;711747;934364;33489;17332;54632;50579;23370;33488;31262;17091
14;2014;3927751;2007825;1919926;2263103;1287131;975972;1664648;720694;943954;33441;17492;54681;50328;23600;33867;31081;16461
15;2015;4001644;2039382;1962262;2319206;1310403;1008803;1682438;728979;953459;33385;17613;54724;50049;23818;34210;30906;15839
16;2016;4074116;2069759;2004357;2374702;1333188;1041514;1699414;736571;962843;33331;17690;54787;49800;24022;34519;30765;15281
17;2017;4145292;2099061;2046231;2429697;1355513;1074184;1715595;743548;972047;33272;17739;54838;49534;24217;34796;30621;14738
18;2018;4215078;2127285;2087793;2484096;1377357;1106739;1730982;749928;981054;33210;17762;54882;49307;24398;35044;30484;14263
19;2019;4283562;2154479;2129083;2537950;1398719;1139231;1745612;755760;989852;33144;17765;54931;49150;24567;35263;30364;13887
20;2020;4350752;2180751;2170001;2591201;1419601;1171600;1759551;761150;998401;33074;17753;54978;49010;24722;35464;30256;13546
21;2021;4416731;2206118;2210613;2643894;1440006;1203888;1772837;766112;1006725;33009;17735;54978;49010;24850;35643;30128;13367
22;2022;4481546;2230703;2250843;2695921;1459879;1236042;1785625;770824;1014801;32944;17710;54978;49010;24963;35812;30015;13198
23;2023;4545254;2254512;2290742;2747358;1479255;1268103;1797896;775257;1022639;32894;17682;54978;49010;25061;35966;29917;13044
24;2024;4607884;2277562;2330322;2798187;1498108;1300079;1809697;779454;1030243;32847;17658;54978;49010;25153;36105;29825;12905
25;2025;4669454;2299868;2369586;2848410;1516458;1331952;1821044;783410;1037634;32805;17632;54978;49010;25234;36234;29744;12776
26;2026;4729953;2321409;2408544;2898027;1534280;1363747;1831926;787129;1044797;32766;17607;54978;49010;25303;36349;29675;12661
27;2027;4789418;2342217;2447201;2947025;1551598;1395427;1842393;790619;1051774;32736;17582;54978;49010;25366;36455;29612;12555
28;2028;4847859;2362286;2485573;2995413;1568392;1427021;1852446;793894;1058552;32706;17559;54978;49010;25420;36554;29558;12456
29;2029;4905326;2381637;2523689;3043232;1584685;1458547;1862094;796952;1065142;32680;17539;54978;49010;25467;36645;29511;12365
30;2030;4961770;2400248;2561522;3090401;1600445;1489956;1871369;799803;1071566;32657;17516;54978;49010;25506;36728;29472;12282
31;2031;5017303;2418170;2599133;3136965;1615687;1521278;1880338;802483;1077855;32639;17493;54978;49010;25539;36802;29439;12208
32;2032;5071861;2435389;2636472;3182933;1630429;1552504;1888928;804960;1083968;32620;17474;54978;49010;25564;36868;29414;12142
33;2033;5125476;2451927;2673549;3228253;1644638;1583615;1897223;807289;1089934;32606;17455;54978;49010;25583;36929;29395;12081
34;2034;5178177;2467783;2710394;3272936;1658328;1614608;1905241;809455;1095786;32593;17437;54978;49010;25597;36984;29381;12026
35;2035;5229946;2482978;2746968;3316967;1671497;1645470;1912979;811481;1101498;32585;17419;54978;49010;25606;37036;29372;11974
36;2036;5280815;2497494;2783321;3360371;1684121;1676250;1920444;813373;1107071;32581;17403;54978;49010;25607;37084;29371;11926
37;2037;5330797;2511349;2819448;3403113;1696229;1706884;1927684;815120;1112564;32581;17387;54978;49010;25607;37126;29371;11884
38;2038;5379878;2524557;2855321;3445160;1707784;1737376;1934718;816773;1117945;32588;17373;54978;49010;25603;37166;29375;11844
39;2039;5428061;2537098;2890963;3486527;1718777;1767750;1941534;818321;1123213;32600;17362;54978;49010;25595;37202;29383;11808
40;2040;5475426;2549029;2926397;3527217;1729244;1797973;1948209;819785;1128424;32617;17349;54978;49010;25586;37238;29392;11772
41;2041;5521954;2560369;2961585;3567169;1739155;1828014;1954785;821214;1133571;32642;17343;54978;49010;25575;37270;29403;11740
42;2042;5567681;2571095;2996586;3606447;1748512;1857935;1961234;822583;1138651;32671;17334;54978;49010;25563;37299;29415;11711
43;2043;5612550;2581217;3031333;3644949;1757296;1887653;1967601;823921;1143680;32707;17326;54978;49010;25549;37326;29429;11684
44;2044;5656626;2590769;3065857;3682752;1765539;1917213;1973874;825230;1148644;32747;17322;54978;49010;25537;37351;29441;11659
45;2045;5699935;2599766;3100169;3719819;1773251;1946568;1980116;826515;1153601;32790;17318;54978;49010;25521;37373;29457;11637
46;2046;5742436;2608191;3134245;3756150;1780411;1975739;1986286;827780;1158506;32840;17315;54978;49010;25508;37394;29470;11616
47;2047;5784084;2616087;3167997;3791697;1787064;2004633;1992387;829023;1163364;32894;17315;54978;49010;25494;37412;29484;11598
48;2048;5824988;2623445;3201543;3826500;1793194;2033306;1998488;830251;1168237;32950;17314;54978;49010;25480;37429;29498;11581
49;2049;5865110;2630298;3234812;3860593;1798847;2061746;2004517;831451;1173066;33017;17316;54978;49010;25467;37445;29511;11565
50;2050;5904410;2636615;3267795;3893893;1804001;2089892;2010517;832614;1177903;33071;17316;54978;49010;25457;37459;29521;11551
