ID;RegioS;TotaalPersonen_1;TotaalMensjaren_2;TotaalFulltimers_3;FulltimersMannen_4;FulltimersVrouwen_5;FulltimersMensjaren_6;TotaalParttimers_7;ParttimersMannen_8;ParttimersVrouwen_9;ParttimersMensjaren_10;TotaalPersoneelInLoondienst_11;MensjarenPersoneelInLoondienst_12;TotaalFulltimersInLoondienst_13;FulltimersMannenInLoondienst_14;FulltimersVrouwenInLoondienst_15;MensjarenFulltimersInLoondienst_16;TotaalParttimersInLoondienst_17;ParttimersMannenInLoondienst_18;ParttimersVrouwenInLoondienst_19;MensjarenParttimersInLoondienst_20;PersoneelBijzondereRegelingen_21;MensjarenPersBijzondereRegelingen_22;TotaalFulltimersBijzRegInLoond_23;FulltimersMannenBijzRegInLoond_24;FulltimersVrouwenBijzRegInLoond_25;MensjarenFulltimersBijzRegInLoond_26;TotaalParttimersBijzRegInLoond_27;MannenParttimersBijzRegInLoond_28;VrouwenParttimersBijzRegInLoond_29;MensjarenParttimersBijzRegInLoond_30;TotaalVrijwilligers_31;VrijwilligersMannen_32;VrijwilligersVrouwen_33;VrijwilligersMensjaren_34;TotaalCollecties_35;TotaalBoekencollecties_36;TotaalBoekenVoorVolwassenen_37;FictionVoorVolwassenen_38;NonFictionVoorVolwassenen_39;NaslagwerkenVoorVolwassenen_40;TotaalBoekenVoorDeJeugd_41;VerhalenVoorDeJeugd_42;OntwikkelingsboekenVoorDeJeugd_43;NaslagwerkenVoorDeJeugd_44;CollectiesBladmuziek_45;TotaalCollAudiovisueleMaterialen_46;MuziekplatenEnCassettes_47;CDS_48;VideocassettesEnBeeldplatenED_49;AndereAudiovisueleMiddelen_50;CollectiesLosseTijdschriften_51;CollectiesKleinGrafischMateriaal_52;OverigeCollecties_53;TotaalUitleningen_54;TotaalUitgeleendeBoeken_55;TotaalUitleningenAanVolwassenen_56;UitleningenFictionAanVolwassenen_57;UitleningenNonFictionAanVolwassenen_58;TotaalUitleningenAanJeugd_59;UitleningenVerhalenAanJeugd_60;UitleningenOntwikkelingsboekenJeugd_61;UitleningenBladmuziek_62;TotaalUitlAudiovisueleMaterialen_63;MuziekplatenEnCassettes_64;CDS_65;VideocassettesEnBeeldplatenED_66;AndereAudiovisueleMiddelen_67;LosseTijdschriften_68;OnderwerpenKleinGrafischMateriaal_69;Overig_70;TotaalIngeschrevenGebruikers_71;IngeschrevenVolwassenenVanaf18Jaar_72;IngeschrevenJeugdTM17Jaar_73;TotaalAantalInstellingen_74;ContributietariefTot908Euro_75;Contributietarief908Tot1134Euro_76;Contributietarief1134Tot1361Euro_77;Contributietarief1361EuroEnMeer_78;VestigingenOpenbareBibliotheken_79;StopplaatsenBibliobus_80;ScholenMetUitleenfunctie_81;OverigUitleenpunten_82
0;Nederland;10072;6138;1593;941;651;1651;8480;859;7620;4487;9655;5776;1460;847;613;1512;8196;754;7442;4264;417;362;132;94;38;139;284;105;179;223;7263;521;6742;491;44229;41025;26534;12636;13455;443;14491;9852;4609;30;600;2339;174;1613;280;272;240;1340;264;179566;166242;100599;69966;30632;65643;53898;11746;687;6345;191;4262;1270;623;3913;945;1435;4549;2397;2152;605;19;31;148;407;1151;1814;7506;1534
1;Noord-Nederland;1210;770;232;157;75;241;978;128;850;529;1165;736;219;148;71;228;946;115;831;508;45;34;13;9;4;13;32;13;19;21;1621;88;1533;91;5402;5140;3250;1591;1631;27;1892;1273;616;1;36;225;8;188;19;11;31;129;0;22195;21184;13131;9284;3846;8054;6610;1442;24;697;4;506;173;14;284;6;0;525;271;254;93;2;0;2;89;185;725;1183;169
2;Oost-Nederland;2187;1291;348;214;133;361;1840;170;1670;930;2070;1186;299;181;118;310;1771;152;1619;876;117;105;48;33;15;51;69;18;51;54;1222;87;1135;94;4796;4445;2648;1317;1286;43;1797;1199;596;2;73;266;24;190;28;23;37;161;10;40194;18729;10648;7656;2990;8081;6698;1382;89;618;21;440;112;44;476;62;13;1015;524;489;126;4;5;31;86;242;338;1878;274
3;West-Nederland;4509;2791;648;346;302;664;3861;400;3461;2128;4373;2690;626;331;295;641;3747;359;3388;2049;136;101;22;15;7;22;114;41;73;79;3432;241;3191;235;19687;18214;12185;5643;6292;249;6029;4081;1930;19;308;1096;89;714;141;151;80;315;69;79070;74223;46264;31823;14439;27960;22865;5096;322;2895;117;1900;570;308;1277;184;168;2050;1138;912;223;6;15;57;145;447;494;2892;799
4;Zuid-Nederland;2166;1286;365;224;141;385;1801;162;1639;901;2047;1165;316;187;129;333;1731;128;1603;832;119;121;49;37;12;52;70;34;36;69;988;105;883;72;9528;8824;5634;2699;2855;81;3190;2161;1022;6;93;471;36;298;71;66;75;464;139;38107;33123;19091;13146;5946;14032;11480;2552;161;1416;22;840;363;191;1707;469;1232;961;464;497;163;7;11;58;87;277;257;1553;292
5;Groningen;380;275;88;49;39;90;292;55;237;185;370;266;83;45;38;85;287;53;234;181;10;9;5;4;1;5;5;2;3;4;695;34;661;49;2152;2069;1348;656;683;9;721;488;233;0;13;70;4;63;3;0;0;2;0;7144;6918;4466;3130;1336;2452;1995;456;1;225;2;207;16;0;0;0;0;193;104;89;26;1;0;1;24;67;163;357;99
6;Friesland;441;288;100;73;27;105;341;38;303;183;412;268;94;70;24;99;318;28;290;169;29;20;6;3;3;6;23;10;13;14;76;14;62;4;1709;1625;1028;517;496;14;598;387;209;1;17;66;1;57;7;1;4;38;0;8539;8219;5077;3660;1417;3143;2608;535;16;280;2;152;123;3;18;6;0;184;93;91;32;1;0;1;30;64;355;514;15
7;Drenthe;389;207;44;35;9;46;345;35;310;161;383;202;42;33;9;44;341;34;307;158;6;5;2;2;0;2;4;1;3;3;850;40;810;38;1541;1446;874;418;452;4;573;398;174;0;6;89;3;68;9;10;27;89;0;6512;6047;3588;2494;1093;2459;2007;451;7;192;0;147;34;11;266;0;0;148;74;74;35;0;0;0;35;54;207;312;55
8;Overijssel;821;466;136;81;54;141;686;69;617;325;738;393;104;62;42;108;634;53;581;285;83;73;31;19;12;33;52;16;36;40;431;17;414;37;3697;3433;2032;1012;986;33;1401;925;474;2;57;203;20;142;24;18;33;125;3;14500;13509;7719;5593;2126;5790;4822;968;70;464;17;316;95;36;415;35;6;342;180;162;44;0;3;13;28;100;75;589;36
9;Flevoland;181;87;11;5;6;11;170;8;162;76;179;85;11;5;6;11;168;8;160;74;2;2;0;0;0;0;2;0;2;2;9;0;9;1;564;524;303;151;146;6;221;148;73;0;6;32;3;24;2;3;3;6;2;3248;3111;1655;1168;486;1456;1183;273;10;75;2;60;12;1;43;3;5;84;37;47;6;0;0;1;5;11;42;124;4
10;Gelderland;1185;738;201;128;73;209;984;93;891;529;1153;708;184;114;70;191;969;91;878;517;32;30;17;14;3;18;15;2;13;12;782;70;712;56;535;488;313;154;154;4;175;126;49;0;10;31;1;24;2;2;1;30;5;22446;2109;1274;895;378;835;693;141;9;79;2;64;5;7;18;24;2;589;307;280;76;4;2;17;53;131;221;1165;234
11;Utrecht;578;370;85;34;51;87;493;48;445;283;568;363;82;32;50;84;486;44;442;279;10;7;3;2;1;3;7;4;3;4;1248;46;1202;85;2933;2628;1699;927;740;32;929;646;281;3;38;264;34;184;11;34;23;75;2;11923;10894;6633;4779;1854;4261;3518;743;19;598;30;458;41;69;368;27;17;317;174;143;46;2;3;12;29;73;100;380;81
12;Noord-Holland;1600;991;176;103;73;183;1424;172;1252;808;1532;942;167;97;70;174;1365;152;1213;768;68;49;9;6;3;9;59;20;39;40;494;28;466;29;6275;5763;3863;1835;1924;104;1900;1267;623;10;110;360;19;254;40;46;21;132;43;26015;24106;15264;10222;5041;8842;7213;1630;124;1070;40;759;180;91;556;83;75;704;396;308;65;0;1;9;55;146;156;1020;258
13;Zuid-Holland;2010;1237;307;165;142;313;1703;155;1548;925;1956;1195;297;158;139;302;1659;139;1520;893;54;42;10;7;3;10;44;16;28;32;1543;156;1387;113;8821;8244;5480;2535;2848;97;2764;1886;873;6;121;432;35;250;81;66;29;94;24;36400;34752;21687;15002;6684;13066;10698;2368;142;1090;44;615;295;136;270;71;75;920;510;410;99;4;11;34;50;188;112;1203;421
14;Zeeland;321;193;80;44;36;81;241;25;216;112;317;190;80;44;36;81;237;24;213;109;4;3;0;0;0;0;4;1;3;3;147;11;136;8;1658;1579;1143;346;780;16;436;282;153;0;39;40;1;26;9;5;7;14;0;4732;4471;2680;1820;860;1791;1436;355;37;137;3;68;54;12;83;3;1;109;58;51;13;0;0;2;11;40;126;289;39
15;Noord-Brabant;1578;917;213;144;69;230;1365;134;1231;687;1481;815;176;117;59;190;1305;102;1203;625;97;102;37;27;10;40;60;32;28;62;633;66;567;38;5962;5447;3491;1705;1755;32;1956;1354;600;1;79;311;5;194;60;52;12;344;125;27538;23416;13920;9419;4501;9496;7655;1841;141;1119;16;620;325;158;1274;407;1182;703;347;356;105;2;1;27;75;171;171;1262;191
16;Limburg;588;369;152;80;72;155;436;28;408;214;566;350;140;70;70;143;426;26;400;207;22;19;12;10;2;12;10;2;8;7;355;39;316;34;3566;3377;2143;994;1100;49;1234;807;422;5;14;160;31;104;11;14;63;120;14;10569;9707;5171;3727;1445;4536;3825;711;20;297;6;220;38;33;433;62;50;258;117;141;58;5;10;31;12;106;86;291;101
