ID;SBI93;Perioden;Omzet_1;Prijs_2;Volume_3;Omzet_4;Prijs_5;Volume_6
0;9302 Kappers en schoonheidsverzorging;1993 januari;67;;;;;
1;9302 Kappers en schoonheidsverzorging;1993 februari;69;;;;;
2;9302 Kappers en schoonheidsverzorging;1993 maart;78;;;;;
3;9302 Kappers en schoonheidsverzorging;1993 1e kwartaal;71;;;;;
4;9302 Kappers en schoonheidsverzorging;1993 april;78;;;;;
5;9302 Kappers en schoonheidsverzorging;1993 mei;79;;;;;
6;9302 Kappers en schoonheidsverzorging;1993 juni;79;;;;;
7;9302 Kappers en schoonheidsverzorging;1993 2e kwartaal;78;;;;;
8;9302 Kappers en schoonheidsverzorging;1993 juli;80;;;;;
9;9302 Kappers en schoonheidsverzorging;1993 augustus;70;;;;;
10;9302 Kappers en schoonheidsverzorging;1993 september;77;;;;;
11;9302 Kappers en schoonheidsverzorging;1993 3e kwartaal;76;;;;;
12;9302 Kappers en schoonheidsverzorging;1993 oktober;76;;;;;
13;9302 Kappers en schoonheidsverzorging;1993 november;72;;;;;
14;9302 Kappers en schoonheidsverzorging;1993 december;91;;;;;
15;9302 Kappers en schoonheidsverzorging;1993 4e kwartaal;80;;;;;
16;9302 Kappers en schoonheidsverzorging;1993;76;;;;;
17;9302 Kappers en schoonheidsverzorging;1994 januari;70;;;4.3;;
18;9302 Kappers en schoonheidsverzorging;1994 februari;71;;;2.9;;
19;9302 Kappers en schoonheidsverzorging;1994 maart;88;;;13.0;;
20;9302 Kappers en schoonheidsverzorging;1994 1e kwartaal;76;;;7.0;;
21;9302 Kappers en schoonheidsverzorging;1994 april;80;;;2.3;;
22;9302 Kappers en schoonheidsverzorging;1994 mei;79;;;0.6;;
23;9302 Kappers en schoonheidsverzorging;1994 juni;84;;;6.2;;
24;9302 Kappers en schoonheidsverzorging;1994 2e kwartaal;81;;;3.0;;
25;9302 Kappers en schoonheidsverzorging;1994 juli;77;;;-4.4;;
26;9302 Kappers en schoonheidsverzorging;1994 augustus;73;;;5.3;;
27;9302 Kappers en schoonheidsverzorging;1994 september;77;;;0.1;;
28;9302 Kappers en schoonheidsverzorging;1994 3e kwartaal;76;;;0.1;;
29;9302 Kappers en schoonheidsverzorging;1994 oktober;76;;;-0.4;;
30;9302 Kappers en schoonheidsverzorging;1994 november;76;;;5.4;;
31;9302 Kappers en schoonheidsverzorging;1994 december;91;;;0.3;;
32;9302 Kappers en schoonheidsverzorging;1994 4e kwartaal;81;;;1.6;;
33;9302 Kappers en schoonheidsverzorging;1994;79;;;2.9;;
34;9302 Kappers en schoonheidsverzorging;1995 januari;69;;;-1.2;;
35;9302 Kappers en schoonheidsverzorging;1995 februari;73;;;2.6;;
36;9302 Kappers en schoonheidsverzorging;1995 maart;85;;;-3.1;;
37;9302 Kappers en schoonheidsverzorging;1995 1e kwartaal;76;;;-0.8;;
38;9302 Kappers en schoonheidsverzorging;1995 april;78;;;-1.6;;
39;9302 Kappers en schoonheidsverzorging;1995 mei;82;;;3.8;;
40;9302 Kappers en schoonheidsverzorging;1995 juni;85;;;1.8;;
41;9302 Kappers en schoonheidsverzorging;1995 2e kwartaal;82;;;1.3;;
42;9302 Kappers en schoonheidsverzorging;1995 juli;75;;;-2.1;;
43;9302 Kappers en schoonheidsverzorging;1995 augustus;78;;;6.7;;
44;9302 Kappers en schoonheidsverzorging;1995 september;81;;;4.7;;
45;9302 Kappers en schoonheidsverzorging;1995 3e kwartaal;78;;;3.0;;
46;9302 Kappers en schoonheidsverzorging;1995 oktober;78;;;3.0;;
47;9302 Kappers en schoonheidsverzorging;1995 november;79;;;4.3;;
48;9302 Kappers en schoonheidsverzorging;1995 december;90;;;-1.0;;
49;9302 Kappers en schoonheidsverzorging;1995 4e kwartaal;83;;;1.9;;
50;9302 Kappers en schoonheidsverzorging;1995;80;;;1.4;;
51;9302 Kappers en schoonheidsverzorging;1996 januari;74;;;6.7;;
52;9302 Kappers en schoonheidsverzorging;1996 februari;77;;;6.4;;
53;9302 Kappers en schoonheidsverzorging;1996 maart;85;;;-0.4;;
54;9302 Kappers en schoonheidsverzorging;1996 1e kwartaal;79;;;3.9;;
55;9302 Kappers en schoonheidsverzorging;1996 april;81;;;3.2;;
56;9302 Kappers en schoonheidsverzorging;1996 mei;90;;;9.2;;
57;9302 Kappers en schoonheidsverzorging;1996 juni;83;;;-2.2;;
58;9302 Kappers en schoonheidsverzorging;1996 2e kwartaal;85;;;3.3;;
59;9302 Kappers en schoonheidsverzorging;1996 juli;82;;;9.7;;
60;9302 Kappers en schoonheidsverzorging;1996 augustus;83;;;5.7;;
61;9302 Kappers en schoonheidsverzorging;1996 september;79;;;-2.8;;
62;9302 Kappers en schoonheidsverzorging;1996 3e kwartaal;81;;;4.1;;
63;9302 Kappers en schoonheidsverzorging;1996 oktober;86;;;9.9;;
64;9302 Kappers en schoonheidsverzorging;1996 november;82;;;2.9;;
65;9302 Kappers en schoonheidsverzorging;1996 december;91;;;0.8;;
66;9302 Kappers en schoonheidsverzorging;1996 4e kwartaal;86;;;4.4;;
67;9302 Kappers en schoonheidsverzorging;1996;83;;;3.9;;
68;9302 Kappers en schoonheidsverzorging;1997 januari;81;;;9.2;;
69;9302 Kappers en schoonheidsverzorging;1997 februari;78;;;1.2;;
70;9302 Kappers en schoonheidsverzorging;1997 maart;87;;;2.1;;
71;9302 Kappers en schoonheidsverzorging;1997 1e kwartaal;82;;;4.0;;
72;9302 Kappers en schoonheidsverzorging;1997 april;85;;;4.8;;
73;9302 Kappers en schoonheidsverzorging;1997 mei;94;;;4.8;;
74;9302 Kappers en schoonheidsverzorging;1997 juni;85;;;2.4;;
75;9302 Kappers en schoonheidsverzorging;1997 2e kwartaal;88;;;4.0;;
76;9302 Kappers en schoonheidsverzorging;1997 juli;89;;;8.3;;
77;9302 Kappers en schoonheidsverzorging;1997 augustus;82;;;-1.3;;
78;9302 Kappers en schoonheidsverzorging;1997 september;85;;;7.9;;
79;9302 Kappers en schoonheidsverzorging;1997 3e kwartaal;85;;;4.9;;
80;9302 Kappers en schoonheidsverzorging;1997 oktober;92;;;7.5;;
81;9302 Kappers en schoonheidsverzorging;1997 november;85;;;3.3;;
82;9302 Kappers en schoonheidsverzorging;1997 december;99;;;8.8;;
83;9302 Kappers en schoonheidsverzorging;1997 4e kwartaal;92;;;6.7;;
84;9302 Kappers en schoonheidsverzorging;1997;87;;;4.9;;
85;9302 Kappers en schoonheidsverzorging;1998 januari;85;;;5.6;;
86;9302 Kappers en schoonheidsverzorging;1998 februari;82;;;4.6;;
87;9302 Kappers en schoonheidsverzorging;1998 maart;88;;;1.7;;
88;9302 Kappers en schoonheidsverzorging;1998 1e kwartaal;85;;;3.9;;
89;9302 Kappers en schoonheidsverzorging;1998 april;92;;;8.6;;
90;9302 Kappers en schoonheidsverzorging;1998 mei;94;;;0.2;;
91;9302 Kappers en schoonheidsverzorging;1998 juni;89;;;4.8;;
92;9302 Kappers en schoonheidsverzorging;1998 2e kwartaal;92;;;4.4;;
93;9302 Kappers en schoonheidsverzorging;1998 juli;95;;;6.9;;
94;9302 Kappers en schoonheidsverzorging;1998 augustus;82;;;0.3;;
95;9302 Kappers en schoonheidsverzorging;1998 september;90;;;6.7;;
96;9302 Kappers en schoonheidsverzorging;1998 3e kwartaal;89;;;4.7;;
97;9302 Kappers en schoonheidsverzorging;1998 oktober;94;;;1.9;;
98;9302 Kappers en schoonheidsverzorging;1998 november;83;;;-2.0;;
99;9302 Kappers en schoonheidsverzorging;1998 december;106;;;7.4;;
100;9302 Kappers en schoonheidsverzorging;1998 4e kwartaal;95;;;2.7;;
101;9302 Kappers en schoonheidsverzorging;1998;90;;;3.9;;
102;9302 Kappers en schoonheidsverzorging;1999 januari;84;;;-0.9;;
103;9302 Kappers en schoonheidsverzorging;1999 februari;84;;;2.5;;
104;9302 Kappers en schoonheidsverzorging;1999 maart;97;;;10.3;;
105;9302 Kappers en schoonheidsverzorging;1999 1e kwartaal;89;;;4.1;;
106;9302 Kappers en schoonheidsverzorging;1999 april;95;;;3.2;;
107;9302 Kappers en schoonheidsverzorging;1999 mei;94;;;-0.1;;
108;9302 Kappers en schoonheidsverzorging;1999 juni;98;;;9.9;;
109;9302 Kappers en schoonheidsverzorging;1999 2e kwartaal;96;;;4.3;;
110;9302 Kappers en schoonheidsverzorging;1999 juli;100;;;4.9;;
111;9302 Kappers en schoonheidsverzorging;1999 augustus;87;;;5.9;;
112;9302 Kappers en schoonheidsverzorging;1999 september;97;;;7.8;;
113;9302 Kappers en schoonheidsverzorging;1999 3e kwartaal;95;;;6.2;;
114;9302 Kappers en schoonheidsverzorging;1999 oktober;97;;;3.3;;
115;9302 Kappers en schoonheidsverzorging;1999 november;93;;;12.5;;
116;9302 Kappers en schoonheidsverzorging;1999 december;116;;;9.2;;
117;9302 Kappers en schoonheidsverzorging;1999 4e kwartaal;102;;;8.2;;
118;9302 Kappers en schoonheidsverzorging;1999;95;;;5.7;;
119;9302 Kappers en schoonheidsverzorging;2000 januari;88;;;4.4;;
120;9302 Kappers en schoonheidsverzorging;2000 februari;94;;;12.2;;
121;9302 Kappers en schoonheidsverzorging;2000 maart;104;;;6.8;;
122;9302 Kappers en schoonheidsverzorging;2000 1e kwartaal;95;;;7.7;;
123;9302 Kappers en schoonheidsverzorging;2000 april;97;;;2.8;;
124;9302 Kappers en schoonheidsverzorging;2000 mei;104;;;10.2;;
125;9302 Kappers en schoonheidsverzorging;2000 juni;101;;;3.2;;
126;9302 Kappers en schoonheidsverzorging;2000 2e kwartaal;101;;;5.4;;
127;9302 Kappers en schoonheidsverzorging;2000 juli;99;;;-1.3;;
128;9302 Kappers en schoonheidsverzorging;2000 augustus;99;;;13.8;;
129;9302 Kappers en schoonheidsverzorging;2000 september;100;;;2.8;;
130;9302 Kappers en schoonheidsverzorging;2000 3e kwartaal;99;;;4.7;;
131;9302 Kappers en schoonheidsverzorging;2000 oktober;98;;;0.6;;
132;9302 Kappers en schoonheidsverzorging;2000 november;102;;;9.2;;
133;9302 Kappers en schoonheidsverzorging;2000 december;114;;;-2.2;;
134;9302 Kappers en schoonheidsverzorging;2000 4e kwartaal;104;;;2.2;;
135;9302 Kappers en schoonheidsverzorging;2000;100;;;4.9;;
136;9302 Kappers en schoonheidsverzorging;2001 januari;95;;;8.0;;
137;9302 Kappers en schoonheidsverzorging;2001 februari;98;;;3.9;;
138;9302 Kappers en schoonheidsverzorging;2001 maart;112;;;8.2;;
139;9302 Kappers en schoonheidsverzorging;2001 1e kwartaal;102;;;6.8;;
140;9302 Kappers en schoonheidsverzorging;2001 april;103;;;6.2;;
141;9302 Kappers en schoonheidsverzorging;2001 mei;112;;;8.2;;
142;9302 Kappers en schoonheidsverzorging;2001 juni;111;;;9.5;;
143;9302 Kappers en schoonheidsverzorging;2001 2e kwartaal;109;;;8.0;;
144;9302 Kappers en schoonheidsverzorging;2001 juli;102;;;3.2;;
145;9302 Kappers en schoonheidsverzorging;2001 augustus;107;;;8.1;;
146;9302 Kappers en schoonheidsverzorging;2001 september;102;;;1.8;;
147;9302 Kappers en schoonheidsverzorging;2001 3e kwartaal;104;;;4.4;;
148;9302 Kappers en schoonheidsverzorging;2001 oktober;106;;;8.3;;
149;9302 Kappers en schoonheidsverzorging;2001 november;107;;;4.7;;
150;9302 Kappers en schoonheidsverzorging;2001 december;117;;;2.6;;
151;9302 Kappers en schoonheidsverzorging;2001 4e kwartaal;110;;;5.0;;
152;9302 Kappers en schoonheidsverzorging;2001;106;;;6.0;;
153;9302 Kappers en schoonheidsverzorging;2002 januari;102;;;7.3;;
154;9302 Kappers en schoonheidsverzorging;2002 februari;100;;;2.1;;
155;9302 Kappers en schoonheidsverzorging;2002 maart;115;;;2.0;;
156;9302 Kappers en schoonheidsverzorging;2002 1e kwartaal;106;;;3.7;;
157;9302 Kappers en schoonheidsverzorging;2002 april;106;;;2.0;;
158;9302 Kappers en schoonheidsverzorging;2002 mei;119;;;6.2;;
159;9302 Kappers en schoonheidsverzorging;2002 juni;111;;;0.4;;
160;9302 Kappers en schoonheidsverzorging;2002 2e kwartaal;112;;;2.9;;
161;9302 Kappers en schoonheidsverzorging;2002 juli;110;;;8.0;;
162;9302 Kappers en schoonheidsverzorging;2002 augustus;110;;;3.3;;
163;9302 Kappers en schoonheidsverzorging;2002 september;105;;;3.4;;
164;9302 Kappers en schoonheidsverzorging;2002 3e kwartaal;109;;;4.9;;
165;9302 Kappers en schoonheidsverzorging;2002 oktober;115;;;7.9;;
166;9302 Kappers en schoonheidsverzorging;2002 november;111;;;4.6;;
167;9302 Kappers en schoonheidsverzorging;2002 december;119;;;2.0;;
168;9302 Kappers en schoonheidsverzorging;2002 4e kwartaal;115;;;4.9;;
169;9302 Kappers en schoonheidsverzorging;2002;110;;;4.1;;
170;93021 Kappers;1993 januari;70;80.0;87.0;;;
171;93021 Kappers;1993 februari;71;80.0;89.0;;;
172;93021 Kappers;1993 maart;80;80.0;100.0;;;
173;93021 Kappers;1993 1e kwartaal;73;80.0;92.0;;;
174;93021 Kappers;1993 april;79;80.0;99.0;;;
175;93021 Kappers;1993 mei;81;80.0;102.0;;;
176;93021 Kappers;1993 juni;81;81.0;100.0;;;
177;93021 Kappers;1993 2e kwartaal;80;80.0;100.0;;;
178;93021 Kappers;1993 juli;83;81.0;103.0;;;
179;93021 Kappers;1993 augustus;72;81.0;90.0;;;
180;93021 Kappers;1993 september;79;81.0;98.0;;;
181;93021 Kappers;1993 3e kwartaal;78;81.0;97.0;;;
182;93021 Kappers;1993 oktober;78;81.0;96.0;;;
183;93021 Kappers;1993 november;72;81.0;89.0;;;
184;93021 Kappers;1993 december;93;81.0;115.0;;;
185;93021 Kappers;1993 4e kwartaal;81;81.0;100.0;;;
186;93021 Kappers;1993;78;80.0;97.0;;;
187;93021 Kappers;1994 januari;71;82.0;86.0;1.9;3.0;-1.1
188;93021 Kappers;1994 februari;71;82.0;87.0;0.9;3.0;-2.1
189;93021 Kappers;1994 maart;89;82.0;108.0;11.8;3.0;8.5
190;93021 Kappers;1994 1e kwartaal;77;82.0;94.0;5.2;3.0;2.1
191;93021 Kappers;1994 april;81;82.0;98.0;1.6;3.0;-1.4
192;93021 Kappers;1994 mei;79;82.0;97.0;-1.9;3.0;-4.8
193;93021 Kappers;1994 juni;84;83.0;102.0;4.5;3.0;1.5
194;93021 Kappers;1994 2e kwartaal;81;82.0;99.0;1.4;3.0;-1.6
195;93021 Kappers;1994 juli;79;83.0;95.0;-4.9;3.0;-7.7
196;93021 Kappers;1994 augustus;75;83.0;90.0;3.2;3.0;0.2
197;93021 Kappers;1994 september;78;83.0;94.0;-0.6;3.0;-3.5
198;93021 Kappers;1994 3e kwartaal;77;83.0;93.0;-1.0;3.0;-3.9
199;93021 Kappers;1994 oktober;76;84.0;91.0;-1.6;3.0;-4.4
200;93021 Kappers;1994 november;76;84.0;90.0;4.9;3.0;1.9
201;93021 Kappers;1994 december;92;85.0;109.0;-1.0;5.0;-5.7
202;93021 Kappers;1994 4e kwartaal;81;84.0;97.0;0.6;3.6;-2.9
203;93021 Kappers;1994;79;83.0;96.0;1.5;3.2;-1.6
204;93021 Kappers;1995 januari;68;85.0;80.0;-3.5;3.9;-7.1
205;93021 Kappers;1995 februari;73;85.0;85.0;2.0;3.9;-1.9
206;93021 Kappers;1995 maart;84;85.0;99.0;-5.2;3.9;-8.8
207;93021 Kappers;1995 1e kwartaal;75;85.0;88.0;-2.5;3.9;-6.1
208;93021 Kappers;1995 april;78;86.0;90.0;-3.2;4.9;-7.7
209;93021 Kappers;1995 mei;81;86.0;94.0;2.4;4.9;-2.3
210;93021 Kappers;1995 juni;84;86.0;98.0;0.0;3.9;-3.8
211;93021 Kappers;1995 2e kwartaal;81;86.0;94.0;-0.3;4.6;-4.6
212;93021 Kappers;1995 juli;76;86.0;89.0;-3.4;3.9;-7.0
213;93021 Kappers;1995 augustus;79;86.0;91.0;5.5;3.9;1.5
214;93021 Kappers;1995 september;80;86.0;93.0;2.6;3.9;-1.2
215;93021 Kappers;1995 3e kwartaal;78;86.0;91.0;1.5;3.9;-2.3
216;93021 Kappers;1995 oktober;77;87.0;89.0;0.7;3.8;-3.0
217;93021 Kappers;1995 november;78;87.0;90.0;3.5;3.8;-0.4
218;93021 Kappers;1995 december;90;87.0;104.0;-1.9;2.9;-4.6
219;93021 Kappers;1995 4e kwartaal;82;87.0;94.0;0.6;3.5;-2.8
220;93021 Kappers;1995;79;86.0;92.0;-0.2;4.0;-4.0
221;93021 Kappers;1996 januari;73;89.0;82.0;6.4;3.8;2.5
222;93021 Kappers;1996 februari;77;89.0;87.0;6.1;4.7;1.3
223;93021 Kappers;1996 maart;85;89.0;95.0;1.0;4.7;-3.6
224;93021 Kappers;1996 1e kwartaal;78;89.0;88.0;4.3;4.4;-0.1
225;93021 Kappers;1996 april;80;89.0;89.0;2.1;3.7;-1.6
226;93021 Kappers;1996 mei;90;89.0;100.0;10.1;3.7;6.1
227;93021 Kappers;1996 juni;82;89.0;92.0;-2.4;3.7;-6.0
228;93021 Kappers;1996 2e kwartaal;84;89.0;94.0;3.2;3.7;-0.5
229;93021 Kappers;1996 juli;83;89.0;93.0;8.6;3.7;4.7
230;93021 Kappers;1996 augustus;84;89.0;94.0;7.2;3.7;3.3
231;93021 Kappers;1996 september;79;89.0;88.0;-1.7;3.7;-5.3
232;93021 Kappers;1996 3e kwartaal;82;89.0;92.0;4.6;3.7;0.8
233;93021 Kappers;1996 oktober;85;89.0;95.0;10.4;2.8;7.5
234;93021 Kappers;1996 november;82;89.0;92.0;4.5;2.8;1.7
235;93021 Kappers;1996 december;91;90.0;101.0;0.8;3.7;-2.8
236;93021 Kappers;1996 4e kwartaal;86;90.0;96.0;5.0;3.1;1.9
237;93021 Kappers;1996;83;89.0;92.0;4.3;3.7;0.5
238;93021 Kappers;1997 januari;81;91.0;89.0;11.2;3.1;7.8
239;93021 Kappers;1997 februari;79;92.0;86.0;2.1;3.1;-1.0
240;93021 Kappers;1997 maart;87;92.0;95.0;2.5;3.1;-0.6
241;93021 Kappers;1997 1e kwartaal;82;92.0;90.0;5.1;3.1;1.9
242;93021 Kappers;1997 april;84;92.0;92.0;6.1;3.1;2.8
