ID;Perioden;TotaalVarkensstapel_1;BiggenBijDeZeug_2;JongeVarkensTot50Kg_3;TotaalVleesvarkens50KgEnZwaarder_4;Vleesvarkens50Tot80Kg_5;Vleesvarkens80Tot110Kg_6;Vleesvarkens110KgEnZwaarder_7;TotaalFokvarkens50KgEnZwaarder_8;GedekteZeugen_9;ZeugenBijDeBiggen_10;TotaalOverigeFokvarkens_11;JongeZeugen_12;RestFokvarkens_13
0;1981 1 april;10383;2132;3688;3302;2068;1177;57;1261;745;228;288;;
1;1981 1 augustus;10299;2048;3594;3412;2212;1156;45;1245;743;226;276;;
2;1981 1 december;10193;1940;3713;3316;2157;1114;45;1224;747;218;259;;
3;1982 1 april;10031;2026;3609;3190;2063;1075;52;1206;715;225;266;;
4;1982 1 augustus;10698;2057;3806;3552;2189;1299;64;1283;754;229;300;;
5;1982 1 december;10590;1931;3838;3544;2233;1250;60;1277;783;218;276;;
6;1983 1 april;10666;2070;3920;3405;2174;1167;64;1271;753;230;288;;
7;1983 1 augustus;10977;2049;4007;3602;2235;1307;60;1319;777;229;313;;
8;1983 1 december;11008;1955;4064;3666;2232;1378;56;1323;792;221;310;;
9;1984 1 april;11150;2139;4178;3509;2209;1232;68;1324;759;235;330;;
10;1984 1 augustus;11317;2114;4159;3731;2389;1288;54;1313;792;232;289;;
11;1984 1 december;11799;2125;4353;3946;2433;1439;74;1375;839;236;300;;
12;1985 1 april;12008;2231;4446;3937;2501;1368;68;1394;832;244;318;;
13;1985 1 augustus;12379;2251;4582;4121;2609;1449;63;1425;867;245;313;;
14;1985 1 december;12908;2235;5070;4089;2523;1458;107;1514;922;247;345;;
15;1986 1 april;13234;2324;5352;4033;2530;1405;98;1525;905;254;366;;
16;1986 1 augustus;13488;2345;5333;4274;2637;1542;95;1536;939;254;343;;
17;1986 1 december;14063;2402;5328;4656;2821;1742;93;1677;1030;259;388;;
18;1987 1 april;14409;2509;5830;4416;2770;1539;107;1654;986;275;393;;
19;1987 1 augustus;14341;2478;5766;4457;2776;1573;107;1640;982;270;388;;
20;1987 1 december;14226;2381;5438;4803;2876;1809;118;1604;983;257;364;;
21;1988 1 april;13905;2431;5434;4457;2707;1662;88;1583;970;261;352;;
22;1988 1 augustus;14014;2402;5593;4454;2742;1637;75;1565;946;255;364;;
23;1988 1 december;13820;2213;5493;4577;2744;1695;138;1537;932;238;367;;
24;1989 1 april;13757;2353;5420;4422;2695;1642;85;1562;934;251;377;;
25;1989 1 augustus;13964;2331;5584;4496;2770;1650;76;1553;935;247;371;;
26;1989 1 december;13634;2206;5344;4592;2772;1730;90;1492;924;236;332;;
27;1990 1 april;13534;2320;5312;4416;2724;1610;82;1486;918;245;323;;
28;1990 1 augustus;13971;2355;5593;4475;2744;1648;83;1548;947;249;352;;
29;1990 1 december;13788;2152;5486;4654;2756;1802;96;1496;947;230;319;;
30;1991 1 april;13316;2011;5234;4566;2781;1685;100;1505;940;240;325;198.0;127.0
31;1991 1 augustus;13104;2195;5014;4369;2616;1590;163;1526;967;240;319;203.0;116.0
32;1991 1 december;13727;2220;5312;4650;2708;1792;150;1545;990;240;315;192.0;123.0
33;1992 1 april;13624;2304;5359;4432;2460;1777;195;1529;968;242;319;192.0;127.0
34;1992 1 augustus;13936;2363;5519;4494;2611;1693;190;1560;988;250;322;205.0;117.0
35;1992 1 december;13709;2176;5276;4774;2718;1876;180;1483;1004;228;251;143.0;108.0
36;1993 1 april;13851;2378;5692;4309;2550;1608;151;1472;987;249;236;140.0;96.0
37;1993 1 augustus;13878;2343;5431;4675;2554;1879;242;1429;976;239;214;107.0;107.0
38;1993 1 december;13991;2246;5606;4625;2596;1869;160;1514;1003;232;279;168.0;111.0
39;1994 1 april;13809;2215;5565;4512;2538;1795;179;1517;987;228;302;172.0;130.0
40;1994 1 augustus;13912;2223;5549;4629;2602;1847;180;1511;985;230;296;171.0;125.0
41;1994 1 december;13931;2167;5541;4716;2610;1917;189;1507;990;221;296;167.0;129.0
42;1995 1 april;14061;2317;5606;4643;2603;1863;177;1495;941;239;315;187.0;128.0
43;1995 1 augustus;14119;2299;5545;4811;2707;1916;189;1464;915;239;310;176.0;134.0
44;1995 1 december;13958;2141;5342;5003;2788;2037;177;1472;949;227;296;173.0;123.0
45;1996 1 april;13887;2315;5381;4756;2663;1874;220;1435;905;238;292;160.0;132.0
46;1996 1 augustus;13945;2309;5491;4703;2604;1912;187;1443;935;237;271;160.0;111.0
47;1996 1 december;14253;2263;5519;4965;2733;2007;225;1505;959;237;309;180.0;129.0
48;1997 1 april;15189;2433;6803;4350;2448;1763;139;1605;999;253;353;238.0;115.0
49;1997 1 augustus;11696;1752;4227;4339;2044;1744;551;1378;834;188;356;182.0;174.0
50;1997 1 december;11438;1739;4338;3910;2086;1450;374;1451;848;182;421;219.0;202.0
51;1998 1 april;13446;2341;5690;3796;1820;1520;456;1620;988;246;386;279.0;107.0
52;1998 1 augustus;13544;2092;5350;4671;2659;1866;146;1430;906;219;305;195.0;110.0
53;1998 1 december;13418;2090;5349;4589;2513;1842;233;1390;862;214;314;199.0;115.0
54;1999 1 april;13567;2178;6007;3970;2170;1600;200;1412;894;223;295;202.0;93.0
55;1999 1 augustus;13868;2264;5550;4575;2458;1925;193;1479;935;230;314;208.0;106.0
56;1999 1 december;13138;1995;5138;4668;2410;1994;264;1338;866;205;267;172.0;95.0
57;2000 1 april;13118;2088;5833;3820;2139;1528;153;1378;859;217;302;200.0;102.0
58;2000 1 augustus;13030;2022;5138;4570;2470;1900;200;1300;820;205;275;175.0;100.0
59;2000 1 december;12820;2000;4975;4560;2410;1877;273;1285;835;210;240;150.0;90.0
60;2001 1 april;13073;2023;5800;3968;2222;1587;159;1282;814;206;262;185.0;77.0
61;2001 1 augustus;12611;1913;4908;4602;2453;1903;245;1188;782;195;211;118.0;93.0
62;2001 1 december;11515;1778;4606;3949;2119;1632;198;1183;693;179;311;141.0;170.0
63;2002 1 april;11647;1921;5149;3376;1810;1384;182;1201;762;198;241;171.0;70.0
64;2002 1 augustus;11392;1786;4571;3888;2084;1592;212;1146;694;188;264;131.0;133.0
65;2002 1 december;11153;1730;4354;3912;2074;1623;216;1157;702;178;277;141.0;136.0
66;2003 1 april;11172;1831;4963;3229;1808;1292;129;1149;723;185;241;176.0;65.0
67;2003 1 augustus;10910;1690;4315;3800;1985;1620;195;1105;668;180;257;147.0;110.0
68;2003 1 december;10766;1605;4164;3934;2036;1644;254;1063;674;164;225;137.0;88.0
69;2004 1 april;11153;1817;4986;3208;1796;1283;129;1142;730;182;230;172.0;58.0
70;2004 1 augustus;11300;1750;4540;3910;2040;1640;230;1100;695;175;230;120.0;110.0
71;2004 1 december;11140;1700;4455;3850;2040;1610;200;1135;730;170;235;155.0;80.0
72;2005 1 april;11312;1826;5021;3325;1726;1424;175;1141;723;180;238;170.0;68.0
73;2005 1 augustus;11200;1765;4475;3845;1955;1685;205;1115;715;175;225;140.0;85.0
74;2005 1 december;11000;1680;4375;3830;1955;1645;230;1115;725;165;225;130.0;95.0
75;2006 1 april;11356;1864;5029;3333;1730;1426;177;1131;722;182;227;170.0;57.0
76;2006 1 augustus;11280;1785;4525;3835;1947;1658;230;1135;725;170;240;155.0;85.0
77;2006 1 december;11220;1606;4508;4046;2033;1782;231;1060;704;156;200;127.0;73.0
78;2007 1 april;11663;1932;5179;3393;1770;1430;195;1160;739;186;235;178.0;57.0
79;2007 1 augustus;11794;1808;4824;4064;2045;1760;260;1098;695;168;235;175.0;60.0
80;2007 1 december;11710;1750;4880;4010;2007;1713;290;1070;710;165;195;145.0;50.0
81;2008 1 april;12026;1984;4996;3934;1992;1681;260;1112;744;183;185;122.0;63.0
82;2008 1 augustus;11899;1818;5015;4007;2078;1669;260;1059;713;166;180;128.0;52.0
83;2008 1 december;11735;1729;4859;4107;2060;1715;330;1040;709;160;171;121.0;50.0
84;2009 1 april;12186;1996;5043;4013;1967;1741;305;1134;765;179;190;138.0;52.0
85;2009 1 december;12108;1833;5069;4099;2063;1671;365;1107;723;167;217;160.0;57.0
86;2010 1 april;12255;1999;5086;4064;2023;1738;303;1105;756;177;172;110.0;62.0
87;2010 1 december;12206;1765;4915;4419;2111;1919;388;1107;746;160;201;154.0;47.0
88;2011 1 april;12429;2037;5212;4061;2003;1745;314;1119;752;178;189;130.0;59.0
89;2011 1 december;12103;1798;5010;4179;1970;1829;380;1117;705;163;249;172.0;77.0
90;2012 1 april;12234;2028;5086;4044;1936;1738;370;1074;715;175;184;128.0;56.0
91;2012 1 december;12104;1873;4956;4189;1885;1790;513;1088;704;162;222;167.0;55.0
92;2013 1 april;12212;2066;5072;3991;1898;1736;358;1085;726;175;184;130.0;54.0
93;2013 1 december;12013;1973;4730;4209;1891;1804;514;1101;749;162;190;137.0;53.0
94;2014 1 april;12238;2163;5058;3916;1843;1682;392;1100;729;181;190;137.0;53.0
95;2014 1 december;12065;1909;4955;4087;1873;1679;535;1114;694;175;245;186.0;59.0
96;2015 1 april;12603;2262;5203;4027;1896;1735;395;1110;734;188;188;133.0;55.0
97;2015 1 december;12453;2025;5148;4223;1879;1781;563;1057;703;170;184;137.0;47.0
98;2016 1 april;12479;2137;5310;3967;1846;1713;409;1064;709;176;179;125.0;54.0
99;2016 1 december;11881;1896;4820;4140;1827;1711;602;1025;664;150;211;157.0;54.0
100;2017 1 april;12409;2190;5246;3901;1782;1674;445;1072;708;178;186;131.0;55.0
101;2017 1 december;12296;2036;5218;3967;1787;1618;563;1075;690;164;221;165.0;56.0
102;2018 1 april;12391;2202;5265;3865;1745;1649;472;1059;695;178;186;128.0;58.0
103;2018 1 december;11909;1888;5015;4032;1666;1679;687;974;640;153;181;134.0;47.0
104;2019 1 april;12214;2174;5168;3853;1725;1655;474;1018;673;173;172;122.0;50.0
105;2019 1 december;11921;1910;4796;4163;1755;1743;666;1052;661;159;232;160.0;72.0
106;2020 1 april;11860;2118;5016;3719;1651;1564;504;1008;662;169;177;130.0;47.0
107;2020 1 december;11541;1850;4718;4045;1731;1653;661;929;580;151;198;152.0;46.0
