ID;SBISGroothandel;Jaren;Bedrijven_1;WerkzamePersonen_2;NettoOmzet_3;BrutoWinst_4;Totaal_5;Personeelskosten_6;OverigeKosten_7;Bedrijfsresultaat_8
169;513, 514, 51715+5172 Consumentengoederen;1994;22.5;157.3;60.4;18.5;15.6;6.7;8.9;3.6
170;513, 514, 51715+5172 Consumentengoederen;1995;23.8;168.9;63.3;18.3;15.2;6.4;8.8;4.5
171;513, 514, 51715+5172 Consumentengoederen;1996;25.8;172.1;68.2;18.3;15.7;6.3;9.4;3.5
172;513, 514, 51715+5172 Consumentengoederen;1997;27.1;183.8;74.3;19.2;16.3;6.3;10.0;3.8
173;513, 514, 51715+5172 Consumentengoederen;1998;28.6;189.0;82.3;19.5;16.4;6.2;10.2;3.9
174;513, 514, 51715+5172 Consumentengoederen;1999;27.1;198.8;87.4;20.0;16.7;6.7;10.0;4.0
175;513 Voedings- en genotmiddelen;1993;6.8;63.8;32.9;12.7;9.5;4.7;4.8;3.5
176;513 Voedings- en genotmiddelen;1994;6.0;63.2;32.6;12.9;10.8;4.8;6.0;2.4
177;513 Voedings- en genotmiddelen;1995;6.0;66.7;33.3;12.5;10.8;4.8;6.0;3.0
178;513 Voedings- en genotmiddelen;1996;6.8;71.6;35.3;12.5;10.9;4.5;6.4;2.3
179;513 Voedings- en genotmiddelen;1997;7.2;74.1;37.2;12.9;11.1;4.7;6.5;2.4
180;513 Voedings- en genotmiddelen;1998;7.7;77.5;40.4;13.1;11.3;4.8;6.6;2.6
181;513 Voedings- en genotmiddelen;1999;7.4;80.8;42.1;13.7;11.9;5.2;6.7;2.6
182;5131 Aardappelen, groente, fruit;1993;1.3;11.1;6.6;13.4;10.3;4.1;6.2;3.3
183;5131 Aardappelen, groente, fruit;1994;1.2;12.2;7.5;13.9;11.9;4.1;7.8;2.2
184;5131 Aardappelen, groente, fruit;1995;1.1;13.7;8.0;13.5;11.5;4.1;7.4;3.1
185;5131 Aardappelen, groente, fruit;1996;1.4;14.8;7.9;15.0;13.4;4.1;9.3;2.0
186;5131 Aardappelen, groente, fruit;1997;1.4;15.7;8.0;16.5;14.1;4.5;9.6;2.8
187;5131 Aardappelen, groente, fruit;1998;1.5;16.9;9.1;15.5;13.4;4.7;8.7;2.7
188;5131 Aardappelen, groente, fruit;1999;1.4;17.2;9.0;16.2;14.4;5.1;9.2;2.3
189;5132 Vlees(waren), pluimvee, wild e .d.;1993;1.1;10.6;4.3;12.7;9.9;5.6;4.2;3.1
190;5132 Vlees(waren), pluimvee, wild e .d.;1994;0.9;10.4;4.2;12.5;11.1;5.8;5.3;1.7
191;5132 Vlees(waren), pluimvee, wild e .d.;1995;1.0;10.6;4.1;11.8;11.5;5.9;5.7;2.3
192;5132 Vlees(waren), pluimvee, wild e .d.;1996;1.1;10.9;4.4;11.0;10.3;5.3;5.0;2.3
193;5132 Vlees(waren), pluimvee, wild e .d.;1997;1.1;12.0;5.2;11.6;10.7;5.3;5.4;2.3
194;5132 Vlees(waren), pluimvee, wild e .d.;1998;1.2;13.1;5.2;13.2;11.8;5.9;5.9;2.6
195;5132 Vlees(waren), pluimvee, wild e .d.;1999;1.1;14.3;5.2;14.9;13.0;6.7;6.2;2.5
196;5133 Zuivel, eieren, spijsoliÙn e.d.;1993;0.6;5.9;4.0;9.5;6.9;3.2;3.7;2.8
197;5133 Zuivel, eieren, spijsoliÙn e.d.;1994;0.6;5.8;3.9;9.8;7.9;3.5;4.5;2.1
198;5133 Zuivel, eieren, spijsoliÙn e.d.;1995;0.5;6.2;3.8;7.3;8.2;3.5;4.7;4.4
199;5133 Zuivel, eieren, spijsoliÙn e.d.;1996;0.6;6.3;4.6;6.9;6.9;2.9;4.0;1.8
200;5133 Zuivel, eieren, spijsoliÙn e.d.;1997;0.6;5.8;4.7;7.9;7.7;3.0;4.7;1.8
201;5133 Zuivel, eieren, spijsoliÙn e.d.;1998;0.6;6.3;5.1;8.0;7.6;2.9;4.7;1.8
202;5133 Zuivel, eieren, spijsoliÙn e.d.;1999;0.6;6.2;5.1;7.1;7.3;2.9;4.4;1.6
203;5134 Dranken;1993;1.0;5.7;2.4;16.4;12.7;6.5;6.2;3.8
204;5134 Dranken;1994;0.9;5.7;2.1;16.0;13.6;6.4;7.2;2.6
205;5134 Dranken;1995;0.8;5.9;2.2;16.1;13.6;6.3;7.3;2.8
206;5134 Dranken;1996;0.8;5.8;2.4;15.1;13.1;5.8;7.3;2.4
207;5134 Dranken;1997;0.9;5.5;2.6;14.3;12.4;5.1;7.3;2.4
208;5134 Dranken;1998;0.9;5.3;2.9;15.3;13.1;4.4;8.7;2.7
209;5134 Dranken;1999;0.9;5.7;3.5;15.4;12.6;4.2;8.4;3.1
210;5135 Tabaksproducten;1993;0.1;2.0;2.9;6.0;4.4;1.8;2.6;1.7
211;5135 Tabaksproducten;1994;0.1;1.9;2.9;6.1;4.7;1.8;2.9;1.5
212;5135 Tabaksproducten;1995;0.1;1.9;2.9;6.0;4.7;1.8;2.9;1.4
213;5135 Tabaksproducten;1996;0.1;1.7;2.6;7.0;5.1;1.8;3.3;2.1
214;5135 Tabaksproducten;1997;0.1;1.9;2.6;5.3;4.4;2.1;2.3;1.0
215;5135 Tabaksproducten;1998;0.1;2.1;2.9;5.4;4.6;2.2;2.4;1.1
216;5135 Tabaksproducten;1999;0.1;2.0;2.9;5.8;4.7;2.3;2.4;1.3
217;5136 Suiker, chocolade en suikerwerk;1993;0.3;2.3;1.0;14.7;12.1;4.7;7.4;3.0
218;5136 Suiker, chocolade en suikerwerk;1994;0.3;2.1;0.8;19.1;17.4;6.5;10.9;2.2
219;5136 Suiker, chocolade en suikerwerk;1995;0.3;2.1;0.9;18.6;15.6;5.7;9.9;3.2
220;5136 Suiker, chocolade en suikerwerk;1996;0.3;2.6;0.7;17.4;17.4;6.0;11.4;0.8
221;5136 Suiker, chocolade en suikerwerk;1997;0.3;1.4;0.5;22.4;18.5;6.6;11.9;5.1
222;5136 Suiker, chocolade en suikerwerk;1998;0.2;1.5;0.5;21.9;17.9;5.8;12.2;4.7
223;5136 Suiker, chocolade en suikerwerk;1999;0.2;1.4;0.5;21.3;18.0;6.2;11.8;4.4
224;5137 Koffie, thee, cacao, specerijen;1993;0.1;1.2;0.6;16.2;10.1;5.7;4.4;6.2
225;5137 Koffie, thee, cacao, specerijen;1994;0.1;1.3;0.5;21.4;12.9;6.5;6.4;8.7
226;5137 Koffie, thee, cacao, specerijen;1995;0.1;1.4;0.5;27.3;14.9;8.6;6.3;12.9
227;5137 Koffie, thee, cacao, specerijen;1996;0.1;1.4;0.3;36.2;26.3;12.2;14.1;10.8
228;5137 Koffie, thee, cacao, specerijen;1997;0.1;1.5;0.3;31.5;23.7;13.0;10.7;8.6
229;5137 Koffie, thee, cacao, specerijen;1998;0.2;1.4;0.4;31.0;26.2;13.4;12.8;5.5
230;5137 Koffie, thee, cacao, specerijen;1999;0.1;1.6;0.4;36.1;28.1;15.9;12.2;8.7
231;5138 Overige voedings- en genotmiddelen;1993;1.3;10.9;4.3;19.9;14.3;6.4;7.9;5.9
232;5138 Overige voedings- en genotmiddelen;1994;1.3;10.8;4.0;19.7;15.4;7.0;8.4;4.8
233;5138 Overige voedings- en genotmiddelen;1995;1.4;11.9;4.3;20.0;16.0;6.2;9.8;4.5
234;5138 Overige voedings- en genotmiddelen;1996;1.6;13.4;4.4;17.2;14.5;6.3;8.2;3.3
235;5138 Overige voedings- en genotmiddelen;1997;1.7;15.0;4.9;17.2;14.2;6.2;8.0;3.6
236;5138 Overige voedings- en genotmiddelen;1998;1.9;14.3;5.3;17.2;14.1;6.0;8.1;3.7
237;5138 Overige voedings- en genotmiddelen;1999;1.8;15.1;5.8;18.2;15.1;7.0;8.1;3.7
238;5139 Voedingsmiddelen alg. assortiment;1993;0.6;12.9;6.7;10.9;8.4;5.0;3.4;3.0
239;5139 Voedingsmiddelen alg. assortiment;1994;0.5;12.9;6.5;11.7;9.8;5.2;4.6;2.2
240;5139 Voedingsmiddelen alg. assortiment;1995;0.6;13.1;6.7;11.2;9.6;5.1;4.5;2.2
241;5139 Voedingsmiddelen alg. assortiment;1996;0.9;14.7;7.9;11.2;9.3;4.7;4.6;2.4
242;5139 Voedingsmiddelen alg. assortiment;1997;1.0;15.3;8.5;11.5;9.8;4.8;5.0;2.3
243;5139 Voedingsmiddelen alg. assortiment;1998;1.1;16.6;9.1;11.5;10.0;5.0;5.0;2.4
244;5139 Voedingsmiddelen alg. assortiment;1999;1.1;17.0;9.7;11.9;10.6;5.3;5.2;2.5
245;5141 + 5142 Textiel, kleding, schoeisel;1993;3.7;15.4;4.5;24.3;19.4;5.8;13.6;8.5
246;5141 + 5142 Textiel, kleding, schoeisel;1994;3.1;14.6;4.3;24.1;21.1;8.5;12.6;4.4
247;5141 + 5142 Textiel, kleding, schoeisel;1995;3.2;15.8;4.4;25.3;21.1;8.2;12.9;5.3
248;5141 + 5142 Textiel, kleding, schoeisel;1996;3.7;15.3;5.8;22.8;20.2;7.1;13.1;3.6
249;5141 + 5142 Textiel, kleding, schoeisel;1997;3.9;18.8;7.4;27.6;24.6;6.3;18.3;3.7
250;5141 + 5142 Textiel, kleding, schoeisel;1998;4.1;17.6;8.3;29.3;25.6;6.1;19.5;4.3
251;5141 + 5142 Textiel, kleding, schoeisel;1999;3.9;16.9;9.1;27.4;23.1;6.2;16.9;4.9
252;5141 Stoffen,fournituren,huishoudtextiel;1993;;;;;;;;
253;5141 Stoffen,fournituren,huishoudtextiel;1994;;;;;;;;
254;5141 Stoffen,fournituren,huishoudtextiel;1995;;;;;;;;
255;5141 Stoffen,fournituren,huishoudtextiel;1996;0.5;2.2;0.6;22.7;20.8;8.9;11.9;3.5
256;5141 Stoffen,fournituren,huishoudtextiel;1997;0.5;2.2;0.7;22.5;18.2;8.3;9.9;4.7
257;5141 Stoffen,fournituren,huishoudtextiel;1998;0.5;1.8;0.7;24.5;20.1;8.2;11.9;4.5
258;5141 Stoffen,fournituren,huishoudtextiel;1999;0.5;1.8;0.7;22.2;18.0;8.0;10.1;4.7
259;51421 Bovenkleding;1993;;;;;;;;
260;51421 Bovenkleding;1994;;;;;;;;
261;51421 Bovenkleding;1995;;;;;;;;
262;51421 Bovenkleding;1996;2.1;8.5;3.6;22.8;20.8;6.7;14.1;3.0
263;51421 Bovenkleding;1997;2.2;11.6;3.5;22.7;19.4;6.9;12.5;4.2
264;51421 Bovenkleding;1998;2.3;11.6;3.9;23.8;19.2;6.8;12.4;5.5
265;51421 Bovenkleding;1999;2.2;10.9;4.6;23.3;18.0;6.5;11.5;5.8
266;51422 t/m 51426 Overige textiel,schoenen;1993;;;;;;;;
267;51422 t/m 51426 Overige textiel,schoenen;1994;;;;;;;;
268;51422 t/m 51426 Overige textiel,schoenen;1995;;;;;;;;
269;51422 t/m 51426 Overige textiel,schoenen;1996;1.2;4.6;1.6;22.7;18.7;7.1;11.6;4.8
270;51422 t/m 51426 Overige textiel,schoenen;1997;1.2;5.0;3.1;34.2;31.7;5.2;26.5;2.9
271;51422 t/m 51426 Overige textiel,schoenen;1998;1.3;4.2;3.8;35.8;33.2;5.1;28.1;2.9
272;51422 t/m 51426 Overige textiel,schoenen;1999;1.2;4.1;3.9;33.2;30.1;5.5;24.5;3.1
273;5143 Consumenten elektronica;1993;1.4;10.1;3.7;20.0;16.6;7.5;9.1;3.7
274;5143 Consumenten elektronica;1994;1.4;9.8;3.5;20.3;18.2;7.5;10.7;2.7
275;5143 Consumenten elektronica;1995;1.4;10.5;3.7;20.9;18.6;7.5;11.1;2.9
276;5143 Consumenten elektronica;1996;1.5;10.6;3.9;20.7;19.1;7.8;11.3;2.2
277;5143 Consumenten elektronica;1997;1.7;11.2;4.2;23.5;20.6;8.2;12.4;3.8
278;5143 Consumenten elektronica;1998;1.7;12.2;4.7;22.4;19.3;7.8;11.5;3.7
279;5143 Consumenten elektronica;1999;1.7;12.2;5.1;22.2;19.2;8.1;11.1;4.0
280;5144 Glas-, porselein en aardewerk;1993;0.7;3.6;1.0;30.2;23.5;8.3;15.2;7.1
281;5144 Glas-, porselein en aardewerk;1994;0.8;3.6;1.0;29.5;24.4;8.0;16.4;5.9
282;5144 Glas-, porselein en aardewerk;1995;0.9;4.2;1.0;31.2;25.0;8.9;16.1;6.7
283;5144 Glas-, porselein en aardewerk;1996;0.8;4.3;1.0;34.4;28.6;9.0;19.6;6.5
284;5144 Glas-, porselein en aardewerk;1997;0.9;4.1;1.1;33.3;27.1;9.2;17.9;7.0
285;5144 Glas-, porselein en aardewerk;1998;1.0;3.5;1.3;32.4;26.2;8.8;17.4;7.0
286;5144 Glas-, porselein en aardewerk;1999;0.9;3.8;1.4;37.8;29.1;9.4;19.7;9.4
287;5145 Parfums en cosmetica;1993;0.7;4.3;0.8;40.0;34.7;12.9;21.8;7.2
288;5145 Parfums en cosmetica;1994;0.6;4.2;0.9;40.5;36.3;12.5;23.8;6.1
289;5145 Parfums en cosmetica;1995;0.6;4.7;1.0;39.1;35.2;12.1;23.1;6.7
290;5145 Parfums en cosmetica;1996;0.6;4.6;1.0;35.4;32.0;11.2;20.8;4.5
291;5145 Parfums en cosmetica;1997;0.6;4.9;1.1;36.5;31.2;11.4;19.8;6.2
292;5145 Parfums en cosmetica;1998;0.7;5.0;1.3;35.8;30.9;10.9;20.0;6.3
293;5145 Parfums en cosmetica;1999;0.6;5.1;1.3;36.7;31.3;10.8;20.5;6.5
294;5146 Farmaceutische, medische producten;1993;1.7;16.2;5.7;25.9;20.3;9.9;10.4;6.8
295;5146 Farmaceutische, medische producten;1994;1.5;16.6;6.1;25.2;20.7;9.5;11.2;5.7
296;5146 Farmaceutische, medische producten;1995;1.6;17.4;6.7;24.8;19.7;9.1;10.6;6.6
297;5146 Farmaceutische, medische producten;1996;1.6;17.3;7.9;24.7;20.6;8.0;12.6;5.0
298;5146 Farmaceutische, medische producten;1997;1.7;17.5;8.8;24.4;20.2;8.0;12.2;4.9
299;5146 Farmaceutische, medische producten;1998;1.8;19.8;9.9;24.7;19.8;7.9;11.9;5.7
300;5146 Farmaceutische, medische producten;1999;1.8;20.6;10.9;23.8;19.7;8.1;11.6;5.1
301;51461 Farmaceutische producten;1993;;;;;;;;
302;51461 Farmaceutische producten;1994;;;;;;;;
303;51461 Farmaceutische producten;1995;;;;;;;;
304;51461 Farmaceutische producten;1996;0.5;8.7;5.9;21.3;18.3;6.0;12.3;3.7
305;51461 Farmaceutische producten;1997;0.6;8.8;6.5;21.5;18.0;6.1;11.9;4.1
306;51461 Farmaceutische producten;1998;0.6;10.1;7.3;22.3;17.7;6.2;11.5;5.4
307;51461 Farmaceutische producten;1999;0.6;10.7;8.1;20.7;16.9;6.0;10.9;4.9
308;51462 Medische insrumenten e.d.;1993;;;;;;;;
309;51462 Medische insrumenten e.d.;1994;;;;;;;;
310;51462 Medische insrumenten e.d.;1995;;;;;;;;
311;51462 Medische insrumenten e.d.;1996;1.1;8.6;2.0;33.3;26.6;12.9;13.7;7.4
312;51462 Medische insrumenten e.d.;1997;1.1;8.7;2.2;32.9;26.6;13.4;13.2;7.3
313;51462 Medische insrumenten e.d.;1998;1.2;9.7;2.7;31.2;25.5;12.6;12.9;6.5
314;51462 Medische insrumenten e.d.;1999;1.2;9.9;2.7;33.1;28.1;14.3;13.8;5.8
315;51471 t/m 51473 Sport- en kampeerartikel;1993;0.8;2.9;0.6;27.0;20.0;8.5;11.5;7.6
316;51471 t/m 51473 Sport- en kampeerartikel;1994;0.8;2.9;0.7;25.6;20.7;8.6;12.1;5.4
317;51471 t/m 51473 Sport- en kampeerartikel;1995;0.9;3.5;0.8;27.5;21.6;7.9;13.7;6.7
318;51471 t/m 51473 Sport- en kampeerartikel;1996;1.0;3.9;0.8;26.7;23.5;7.9;15.6;5.2
319;51471 t/m 51473 Sport- en kampeerartikel;1997;1.1;4.5;1.0;19.9;18.0;7.0;11.0;4.6
320;51471 t/m 51473 Sport- en kampeerartikel;1998;1.2;4.3;1.0;20.3;17.9;6.9;11.0;3.8
321;51471 t/m 51473 Sport- en kampeerartikel;1999;1.2;4.7;1.2;23.3;21.2;8.9;12.3;3.9
322;51474 Speelgoed;1993;0.3;1.1;0.5;24.5;20.3;6.2;14.1;4.6
323;51474 Speelgoed;1994;0.3;1.2;0.4;24.6;22.6;7.2;15.4;2.2
324;51474 Speelgoed;1995;0.3;2.4;0.5;28.9;23.8;6.6;17.2;5.7
325;51474 Speelgoed;1996;0.3;1.5;1.7;24.6;16.3;2.7;13.6;9.2
326;51474 Speelgoed;1997;0.3;2.1;1.9;24.4;16.1;2.8;13.3;9.3
327;51474 Speelgoed;1998;0.4;2.0;2.5;21.8;14.0;1.7;12.3;8.2
328;51474 Speelgoed;1999;0.3;1.8;2.5;22.6;14.3;2.0;12.2;8.7
329;51475 t/m 51477 Optische, juweliers art.;1993;0.8;4.8;1.3;27.9;21.6;10.7;10.9;6.8
330;51475 t/m 51477 Optische, juweliers art.;1994;0.7;4.8;1.3;27.9;22.3;11.2;11.1;6.0
331;51475 t/m 51477 Optische, juweliers art.;1995;0.7;4.5;1.3;27.0;22.2;9.9;12.3;5.1
332;51475 t/m 51477 Optische, juweliers art.;1996;0.7;4.0;1.3;25.3;19.6;8.6;11.0;6.0
333;51475 t/m 51477 Optische, juweliers art.;1997;0.8;3.6;1.4;24.0;20.3;9.1;11.2;4.7
334;51475 t/m 51477 Optische, juweliers art.;1998;0.8;3.0;1.5;25.2;20.4;9.4;11.0;5.8
335;51475 t/m 51477 Optische, juweliers art.;1999;0.8;3.2;1.5;26.2;20.8;8.8;12.0;5.8
336;51479 Huismeubilair;1993;0.8;4.2;1.0;27.6;22.0;9.5;12.5;5.9
337;51479 Huismeubilair;1994;0.9;3.7;1.2;25.8;18.5;7.3;11.2;7.5
