ID;Perioden;UitstaandDebiteurensaldo_1;UitstaandeContracten_2
0;1970 december;24;32
1;1971 december;29;77
2;1972 december;45;154
3;1973 december;60;196
4;1974 december;79;217
5;1975 december;103;256
6;1976 december;84;168
7;1977 december;119;187
8;1978 december;181;218
9;1979 december;196;249
10;1980 december;189;269
11;1981 december;197;311
12;1982 december;186;326
13;1983 december;407;655
14;1984 december;431;698
15;1985 december;455;740
16;1986 december;469;752
17;1987 december;499;767
18;1988 december;545;847
19;1989 december;603;925
20;1990 december;638;992
21;1991 december;757;1076
22;1992 december;1151;1182
23;1993 januari;1241;1171
24;1993 februari;1193;1158
25;1993 maart;1211;1194
26;1993 april;1241;1222
27;1993 mei;1163;1017
28;1993 juni;1169;1051
29;1993 juli;1200;1255
30;1993 augustus;1223;1198
31;1993 september;1252;1212
32;1993 oktober;1260;1207
33;1993 november;1266;1228
34;1993 december;1356;1601
35;1994 januari;1368;1486
36;1994 februari;1444;1583
37;1994 maart;1508;1628
38;1994 april;1549;1652
39;1994 mei;1514;1529
40;1994 juni;1581;1574
41;1994 juli;1644;1669
42;1994 augustus;1738;1861
43;1994 september;1883;1998
44;1994 oktober;1899;2001
45;1994 november;1937;2076
46;1994 december;2071;2123
47;1995 januari;2050;2138
48;1995 februari;2030;2121
49;1995 maart;2082;2432
50;1995 april;2087;2030
51;1995 mei;1910;1750
52;1995 juni;2035;1827
53;1995 juli;2062;1874
54;1995 augustus;2139;2030
55;1995 september;2211;2088
56;1995 oktober;2331;2155
57;1995 november;2381;2182
58;1995 december;2408;2136
59;1996 januari;2410;2142
60;1996 februari;2322;2110
61;1996 maart;2290;2089
62;1996 april;2435;2215
63;1996 mei;2229;1860
64;1996 juni;2265;1439
65;1996 juli;2376;1948
66;1996 augustus;2517;2154
67;1996 september;2590;2152
68;1996 oktober;2659;2266
69;1996 november;2712;2213
70;1996 december;2845;2347
71;1997 januari;2813;2294
72;1997 februari;2659;1947
73;1997 maart;2742;2153
74;1997 april;2869;2248
75;1997 mei;2671;1955
76;1997 juni;2824;1977
77;1997 juli;2926;2242
78;1997 augustus;3067;2192
79;1997 september;3130;2339
80;1997 oktober;3341;2328
81;1997 november;3311;2305
82;1997 december;3490;2408
83;1998 januari;3410;2420
84;1998 februari;3407;2495
85;1998 maart;3492;2532
86;1998 april;3613;2571
87;1998 mei;3442;2477
88;1998 juni;3618;2689
89;1998 juli;3734;2699
90;1998 augustus;3890;2721
91;1998 september;3951;2759
92;1998 oktober;4022;2814
93;1998 november;4076;2854
94;1998 december;4239;2500
95;1999 januari;4138;2379
96;1999 februari;4183;2411
97;1999 maart;4275;2454
98;1999 april;4300;2423
99;1999 mei;4104;2094
100;1999 juni;4090;2077
101;1999 juli;4178;2173
102;1999 augustus;4276;2399
103;1999 september;4359;2440
104;1999 oktober;4391;2396
105;1999 november;4477;2439
106;1999 december;4739;2539
107;2000 januari;4647;2409
108;2000 februari;4713;2397
109;2000 maart;4821;2360
110;2000 april;4835;2265
111;2000 mei;4686;2028
112;2000 juni;4878;2226
113;2000 juli;4947;2287
114;2000 augustus;5080;2474
115;2000 september;5158;2591
116;2000 oktober;5369;2631
117;2000 november;5347;2560
118;2000 december;5482;2540
119;2001 januari;5292;2513
120;2001 februari;5206;2484
121;2001 maart;5081;2409
122;2001 april;5095;2400
123;2001 mei;4871;2176
124;2001 juni;4988;2261
125;2001 juli;5146;2387
126;2001 augustus;5229;2513
127;2001 september;5279;2545
128;2001 oktober;5420;2593
129;2001 november;5395;2552
130;2001 december;5337;2458
131;2002 januari;5434;2499
132;2002 februari;5665;2942
133;2002 maart;5604;2768
134;2002 april;5550;2680
135;2002 mei;5370;2405
136;2002 juni;5444;2469
137;2002 juli;5712;2614
138;2002 augustus;5946;2780
139;2002 september;6041;2887
140;2002 oktober;6192;2908
141;2002 november;6177;2828
142;2002 december;6277;2917
143;2003 januari;6063;2859
144;2003 februari;6044;2813
145;2003 maart;6254;3117
146;2003 april;6202;3012
147;2003 mei;5784;2570
148;2003 juni;5935;2701
149;2003 juli;6086;2797
150;2003 augustus;6091;2842
151;2003 september;6285;3062
152;2003 oktober;6304;3051
153;2003 november;6180;2879
154;2003 december;6450;3100
155;2004 januari;6178;2811
156;2004 februari;6206;2745
157;2004 maart;6099;3014
158;2004 april;6363;2952
159;2004 mei;5993;2520
160;2004 juni;6215;2719
161;2004 juli;6301;2757
162;2004 augustus;6606;3084
163;2004 september;6874;3193
164;2004 oktober;6744;3061
165;2004 november;6846;2960
166;2004 december;6902;2921
167;2005 januari;6956;3241
168;2005 februari;7039;3221
169;2005 maart;7188;3298
170;2005 april;7203;3124
171;2005 mei;6841;2690
172;2005 juni;6966;2760
173;2005 juli;6921;2699
174;2005 augustus;7183;2961
175;2005 september;7287;2988
176;2005 oktober;7389;3021
177;2005 november;7338;2933
178;2005 december;7456;2928
179;2006 januari;7262;2969
180;2006 februari;7378;2861
181;2006 maart;7452;2846
182;2006 april;7481;2966
183;2006 mei;7101;2497
184;2006 juni;7081;2606
185;2006 juli;7265;2687
186;2006 augustus;7531;2820
187;2006 september;7602;2841
188;2006 oktober;7810;2907
189;2006 november;7759;2880
190;2006 december;7853;2822
191;2007 januari;8218;3010
192;2007 februari;8210;2865
193;2007 maart;8192;2797
194;2007 april;8234;2856
195;2007 mei;7865;2410
196;2007 juni;7953;2497
197;2007 juli;8224;2610
198;2007 augustus;8440;2744
199;2007 september;8521;2732
200;2007 oktober;8520;2837
201;2007 november;8586;2794
202;2007 december;8816;2862
203;2008 januari;8725;2918
204;2008 februari;8772;2830
205;2008 maart;8860;2796
206;2008 april;8940;2857
207;2008 mei;8555;2404
208;2008 juni;8701;2534
209;2008 juli;8527;2667
210;2008 augustus;8757;2682
211;2008 september;9134;2825
212;2008 oktober;9112;2858
213;2008 november;8958;2696
214;2008 december;9249;2883
215;2009 januari;8963;2814
216;2009 februari;8880;2696
217;2009 maart;9210;2912
218;2009 april;9253;3006
219;2009 mei;8850;2549
220;2009 juni;9061;2694
221;2009 juli;9101;2756
222;2009 augustus;9359;2858
223;2009 september;9467;2894
224;2009 oktober;9494;2962
225;2009 november;9556;2858
226;2009 december;9739;2851
227;2010 januari;9399;2747
228;2010 februari;9325;2583
229;2010 maart;9641;2791
230;2010 april;9616;2786
231;2010 mei;9273;2393
232;2010 juni;9359;2416
233;2010 juli;9498;2482
234;2010 augustus;9733;2653
235;2010 september;9696;2623
236;2010 oktober;9653;2629
237;2010 november;9755;2684
238;2010 december;9908;2644
239;2011 januari;9754;2647
240;2011 februari;9726;2531
241;2011 maart;9769;2701
242;2011 april;9797;2732
243;2011 mei;9491;2383
244;2011 juni;9573;2411
245;2011 juli;9676;2443
246;2011 augustus;10057;2644
247;2011 september;10220;2717
248;2011 oktober;10276;2757
249;2011 november;10309;2707
250;2011 december;10620;2671
251;2012 januari;10325;2614
252;2012 februari;10263;2555
253;2012 maart;10305;2640
254;2012 april;10256;2634
255;2012 mei;9932;2341
256;2012 juni;10012;2385
257;2012 juli;10120;2552
258;2012 augustus;10149;2619
259;2012 september;10098;2599
260;2012 oktober;10228;2689
261;2012 november;10168;2627
262;2012 december;10251;2684
263;2013 januari;10055;2561
264;2013 februari;9951;2515
265;2013 maart;9940;2544
266;2013 april;10145;2674
267;2013 mei;9665;2329
268;2013 juni;9665;2337
