ID;Perioden;Inkomsten_1;Uitgaven_2;Saldo_3
0;2014 1e kwartaal;8477;7568;909
1;2014 2e kwartaal;9134;8823;311
2;2014 3e kwartaal;7495;7668;-173
3;2014 4e kwartaal;7575;8734;-1159
4;2015 1e kwartaal;8918;7332;1586
5;2015 2e kwartaal;9418;8545;873
6;2015 3e kwartaal;7315;7837;-522
7;2015 4e kwartaal;7335;8792;-1457
8;2016 1e kwartaal;9293;7616;1677
9;2016 2e kwartaal;9660;8749;911
10;2016 3e kwartaal;7381;8058;-677
11;2016 4e kwartaal;7342;8796;-1454
12;2017 1e kwartaal;9251;7706;1545
13;2017 2e kwartaal;9556;9002;554
14;2017 3e kwartaal;7527;7760;-233
15;2017 4e kwartaal;7717;8727;-1010
16;2018 1e kwartaal;9360;7927;1433
17;2018 2e kwartaal;9774;9192;582
18;2018 3e kwartaal;7922;8346;-424
19;2018 4e kwartaal;8233;9551;-1318
20;2019 1e kwartaal;9537;8244;1293
21;2019 2e kwartaal;10084;9552;532
22;2019 3e kwartaal;8250;8486;-236
23;2019 4e kwartaal;8335;9263;-928
24;2020 1e kwartaal;10130;8829;1301
25;2020 2e kwartaal;10178;9931;247
26;2020 3e kwartaal;8317;8736;-419
27;2020 4e kwartaal;8881;9565;-684
28;2021 1e kwartaal;10321;9149;1172
29;2021 2e kwartaal;11037;10387;650
30;2021 3e kwartaal;10177;9461;716
31;2021 4e kwartaal;10026;10769;-743
32;2022 1e kwartaal;10758;9311;1447
33;2022 2e kwartaal;10878;10888;-10
34;2022 3e kwartaal;10633;10137;496
35;2022 4e kwartaal;10790;11045;-255
36;2023 1e kwartaal;11394;10047;1347
37;2023 2e kwartaal;11742;11525;217
38;2023 3e kwartaal;10872;10889;-17
39;2023 4e kwartaal;11445;12145;-700
40;2024 1e kwartaal;11785;11419;366
